pi,year,doi,title,title_clean
Richard Sander,2019,10.1063/5.0011721,"State preparation of a fluxonium qubit with feedback from a custom
  FPGA-based platform","state preparation of a fluxonium qubit with feedback from a custom
  fpga-based platform"
Richard Sander,2023,10.1128/msphere.00200-23,A Dutch highly pathogenic H5N6 avian influenza virus showed remarkable tropism for extra-respiratory organs and caused severe disease but was not transmissible via air in the ferret model,a dutch highly pathogenic h5n6 avian influenza virus showed remarkable tropism for extra-respiratory organs and caused severe disease but was not transmissible via air in the ferret model
Richard Sander,2014,10.1016/j.semcdb.2014.04.006,Regulation of the germ stem cell niche as the foundation for adult spermatogenesis:A role for miRNAs?,regulation of the germ stem cell niche as the foundation for adult spermatogenesis:a role for mirnas?
Richard Sander,2016,10.4000/activites.2122,La résolution de problèmes professionnels sur simulateur,la résolution de problèmes professionnels sur simulateur
Richard Sander,2021,10.5445/ir/1000134621,Quantum Nondemolition Dispersive Readout of a Superconducting Artificial Atom Using Large Photon Numbers,quantum nondemolition dispersive readout of a superconducting artificial atom using large photon numbers
Richard Sander,2016,10.18632/oncotarget.9500,Genetic heterogeneity in primary and relapsed mantle cell lymphomas : impact of recurrent CARD11 mutations,genetic heterogeneity in primary and relapsed mantle cell lymphomas : impact of recurrent card11 mutations
Richard Sander,2016,10.1104/pp.16.00943,Cis-cinnamic acid is a novel natural auxin efflux inhibitor that promotes lateral root formation,cis-cinnamic acid is a novel natural auxin efflux inhibitor that promotes lateral root formation
Richard Sander,2024,10.1186/s13046-024-03119-3,IGF1R signaling induces epithelial-mesenchymal plasticity via ITGAV in cutaneous carcinoma,igf1r signaling induces epithelial-mesenchymal plasticity via itgav in cutaneous carcinoma
Richard Sander,2010,10.1042/cs20100041,DNA repair systems and the pathogenesis of Mycobacterium tuberculosis: varying activities at different stages of infection,dna repair systems and the pathogenesis of mycobacterium tuberculosis: varying activities at different stages of infection
Richard Sander,2019,10.1073/pnas.1908712116,Satellite observations reveal extreme methane leakage from a natural gas well blowout,satellite observations reveal extreme methane leakage from a natural gas well blowout
Richard Sander,2023,10.1161/circresaha.122.322133,EGFR/IGF1R Signaling Modulates Relaxation in Hypertrophic Cardiomyopathy,egfr/igf1r signaling modulates relaxation in hypertrophic cardiomyopathy
Richard Sander,2023,10.1016/j.yexcr.2023.113820,Myotube growth is associated with cancer-like metabolic reprogramming and is limited by phosphoglycerate dehydrogenase,myotube growth is associated with cancer-like metabolic reprogramming and is limited by phosphoglycerate dehydrogenase
Richard Sander,2017,10.1038/s41598-017-02684-2,Dibutyl phthalate induced testicular dysgenesis originates after seminiferous cord formation in rats,dibutyl phthalate induced testicular dysgenesis originates after seminiferous cord formation in rats
Richard Sander,2022,10.1038/s41567-023-02082-8,A quantum Szilard engine for two-level systems coupled to a qubit,a quantum szilard engine for two-level systems coupled to a qubit
Richard Sander,2023,10.5445/ir/1000160347,Two-level system hyperpolarization using a quantum Szilard engine,two-level system hyperpolarization using a quantum szilard engine
Richard Sander,2016,10.1002/2015gc006061,Torsion of a cylinder of partially molten rock with a spherical inclusion: Theory and simulation,torsion of a cylinder of partially molten rock with a spherical inclusion: theory and simulation
Richard Sander,2024,10.1371/journal.ppat.1011942,Species-specific emergence of H7 highly pathogenic avian influenza virus is driven by intrahost selection differences between chickens and ducks,species-specific emergence of h7 highly pathogenic avian influenza virus is driven by intrahost selection differences between chickens and ducks
Richard Sander,2024,10.1038/s41467-024-50390-1,Divergent evolution of male-determining loci on proto-Y chromosomes of the housefly,divergent evolution of male-determining loci on proto-y chromosomes of the housefly
Richard Sander,2019,10.1016/j.celrep.2019.02.044,Parabrachial Interleukin-6 reduces body weight and food intake and increases thermogenesis to regulate energy metabolism,parabrachial interleukin-6 reduces body weight and food intake and increases thermogenesis to regulate energy metabolism
Richard Sander,2020,10.1038/s41467-021-26534-y,Congenital disorder of glycosylation caused by starting site-specific variant in syntaxin-5,congenital disorder of glycosylation caused by starting site-specific variant in syntaxin-5
Jialin Li,2018,10.1140/epjc/s10052-018-6137-x,"Accelerating AdS black holes as the holographic heat engines in a
  benchmarking scheme","accelerating ads black holes as the holographic heat engines in a
  benchmarking scheme"
Jialin Li,2019,10.1109/icde.2019.00051,An Iterative Scheme for Leverage-based Approximate Aggregation,an iterative scheme for leverage-based approximate aggregation
Jialin Li,2005,10.1016/j.cam.2008.12.003,A Galerkin boundary node method and its convergence analysis ,a galerkin boundary node method and its convergence analysis
Jialin Li,2017,10.1109/nas.2017.8026869,Performance Evaluation and Modeling of HPC I/O on Non-Volatile Memory,performance evaluation and modeling of hpc i/o on non-volatile memory
Jialin Li,2017,10.1038/s41598-017-06837-1,"High-resolution transport-of-intensity quantitative phase microscopy
  with annular illumination","high-resolution transport-of-intensity quantitative phase microscopy
  with annular illumination"
Jialin Li,2016,10.4230/lipics.isaac.2016.51,On the Optimality of Tape Merge of Two Lists with Similar Size,on the optimality of tape merge of two lists with similar size
Jialin Li,2019,10.1007/jhep02(2019)144,"Thermodynamics of charged accelerating AdS black holes and holographic
  heat engines","thermodynamics of charged accelerating ads black holes and holographic
  heat engines"
Jialin Li,2020,10.1145/3544216.3544253,Reproducible Host Networking Evaluation with End-to-End Simulation,reproducible host networking evaluation with end-to-end simulation
Jialin Li,2024,10.1051/shsconf/202419301024,Risk Assessment of Banks When Interest Rate Hikes,risk assessment of banks when interest rate hikes
Jialin Li,2021,10.13016/5x2z-kqpc,Convergence rate theory for global optimization,convergence rate theory for global optimization
Jialin Li,2018,10.19044/esj.2018.v14n13p1,The Influence of Public Goods on the Development of China’s Regional Economy – A Spatial Econometric Approach,the influence of public goods on the development of china’s regional economy – a spatial econometric approach
Jialin Li,2015,10.1093/jxb/erv237,Phosphorylation of TGB1 by protein kinase CK2 promotes barley stripe mosaic virus movement in monocots and dicots.,phosphorylation of tgb1 by protein kinase ck2 promotes barley stripe mosaic virus movement in monocots and dicots.
Jialin Li,2019,10.1371/journal.pone.0220047,"Prevalence and predictors of polypharmacy prescription among type 2 diabetes patients at a tertiary care department in Ningbo, China: A retrospective database study","prevalence and predictors of polypharmacy prescription among type 2 diabetes patients at a tertiary care department in ningbo, china: a retrospective database study"
Jialin Li,2023,10.5772/intechopen.109605,Hyperbolic Navier-Stokes with Reconstructed Discontinuous Galerkin Method,hyperbolic navier-stokes with reconstructed discontinuous galerkin method
Jialin Li,2022,10.1108/jicv-11-2021-0017,Subjective assessment for an advanced driver assistance system: a case study in China,subjective assessment for an advanced driver assistance system: a case study in china
Jialin Li,2018,10.1002/ecs2.2352,Human activities accelerated the degradation of saline seepweed red beaches by amplifying top‐down and bottom‐up forces,human activities accelerated the degradation of saline seepweed red beaches by amplifying top‐down and bottom‐up forces
Jialin Li,2024,10.3389/fpubh.2024.1413031,Gauging road safety advances using a hybrid EWM–PROMETHEE II–DBSCAN model with machine learning,gauging road safety advances using a hybrid ewm–promethee ii–dbscan model with machine learning
Jialin Li,2013,10.1155/2013/752150,"Chondroprotective Activity of
                    Murraya exotica","chondroprotective activity of
                    murraya exotica"
Jialin Li,2011,10.1186/1743-422x-8-335,Detection and characterization of spontaneous internal deletion mutants of Beet Necrotic yellow vein virus RNA3 from systemic host Nicotiana benthamiana,detection and characterization of spontaneous internal deletion mutants of beet necrotic yellow vein virus rna3 from systemic host nicotiana benthamiana
Jialin Li,2023,10.3389/fnbeh.2023.1175067,Effects of mindfulness and fatigue on emotional processing: an event-related potentials study,effects of mindfulness and fatigue on emotional processing: an event-related potentials study
Jialin Li,2022,10.1108/rs-04-2022-0014,Research on rail wear of small radius curve in EMU depot,research on rail wear of small radius curve in emu depot
Jialin Li,2011,10.1186/1743-422x-8-24,"Rice black-streaked dwarf virus P6 self-interacts to form punctate, viroplasm-like structures in the cytoplasm and recruits viroplasm-associated protein P9-1","rice black-streaked dwarf virus p6 self-interacts to form punctate, viroplasm-like structures in the cytoplasm and recruits viroplasm-associated protein p9-1"
Jialin Li,2020,10.1609/aaai.v34i07.6711,"Accurate Temporal Action Proposal Generation with Relation-Aware Pyramid
  Network","accurate temporal action proposal generation with relation-aware pyramid
  network"
Jialin Li,2018,10.1145/3269206.3271739,"RippleNet: Propagating User Preferences on the Knowledge Graph for
  Recommender Systems","ripplenet: propagating user preferences on the knowledge graph for
  recommender systems"
Jialin Li,2021,10.2196/19239,"Interplay of Support, Comparison, and Surveillance in Social Media Weight Management Interventions: Qualitative Study","interplay of support, comparison, and surveillance in social media weight management interventions: qualitative study"
Jialin Li,2018,10.1007/s13595-018-0770-2,Geometric morphometric analyses of leaf shapes in two sympatric Chinese oaks: Quercus dentata Thunberg and Quercus aliena Blume (Fagaceae),geometric morphometric analyses of leaf shapes in two sympatric chinese oaks: quercus dentata thunberg and quercus aliena blume (fagaceae)
Jialin Li,2022,10.1007/s10311-022-01524-8,A flocculation tensor to monitor water quality using a deep learning model,a flocculation tensor to monitor water quality using a deep learning model
Jialin Li,2011,10.1371/journal.pone.0026468,A High Throughput Barley Stripe Mosaic Virus Vector for Virus Induced Gene Silencing in Monocots and Dicots,a high throughput barley stripe mosaic virus vector for virus induced gene silencing in monocots and dicots
Jialin Li,2025,10.1016/j.aquaculture.2024.741652,A newly developed 20K SNP array reveals QTLs for disease resistance to Cryptocaryon irritans in tiger pufferfish (Takifugu rubripes),a newly developed 20k snp array reveals qtls for disease resistance to cryptocaryon irritans in tiger pufferfish (takifugu rubripes)
Jialin Li,2023,10.1021/acs.nanolett.2c04975,Waveguide-Integrated Light-Emitting Metal–Insulator–Graphene Tunnel Junctions,waveguide-integrated light-emitting metal–insulator–graphene tunnel junctions
Jialin Li,2023,10.1016/j.cej.2023.141486,Effect of ionic radius and valence state of alkali and alkaline earth metals on promoting the catalytic performance of La<sub>2</sub>O<sub>3</sub> catalysts for glycerol carbonate production,effect of ionic radius and valence state of alkali and alkaline earth metals on promoting the catalytic performance of la<sub>2</sub>o<sub>3</sub> catalysts for glycerol carbonate production
Jialin Li,2015,10.1016/j.ijid.2015.02.020,"NDM-1-producing Enterobacteriaceae in a teaching hospital in Shanghai, China: IncX3-type plasmids may contribute to the dissemination of blaNDM-1 ","ndm-1-producing enterobacteriaceae in a teaching hospital in shanghai, china: incx3-type plasmids may contribute to the dissemination of blandm-1"
Jialin Li,2021,10.1016/j.chemosphere.2021.131068,A biochar supported magnetic metal organic framework for the removal of trivalent antimony,a biochar supported magnetic metal organic framework for the removal of trivalent antimony
Jialin Li,2016,10.21595/jve.2016.17067,Nonlinear dynamic analysis of a coupled lateral-torsional spur gear with eccentricity,nonlinear dynamic analysis of a coupled lateral-torsional spur gear with eccentricity
Jialin Li,2022,10.3389/fpsyg.2022.1025280,The effect of exercise on academic fatigue and sleep quality among university students.,the effect of exercise on academic fatigue and sleep quality among university students.
Jialin Li,2014,10.1186/1743-8977-11-26,"Pharmacokinetics, clearance, and biosafety of polyethylene glycol-coated hollow gold nanospheres","pharmacokinetics, clearance, and biosafety of polyethylene glycol-coated hollow gold nanospheres"
Jialin Li,2021,10.1136/bmjopen-2020-040532,"Prevalence of comorbidities and their associated factors in patients with type 2 diabetes at a tertiary care department in Ningbo, China: a cross-sectional study","prevalence of comorbidities and their associated factors in patients with type 2 diabetes at a tertiary care department in ningbo, china: a cross-sectional study"
Jialin Li,2013,10.1186/1743-422x-10-200,N-terminal basic amino acid residues of Beet black scorch virus capsid protein play a critical role in virion assembly and systemic movement,n-terminal basic amino acid residues of beet black scorch virus capsid protein play a critical role in virion assembly and systemic movement
Jialin Li,2024,10.3389/fphar.2024.1413699,Clinical significance and biological function of interferon regulatory factor 1 in non-small cell lung cancer,clinical significance and biological function of interferon regulatory factor 1 in non-small cell lung cancer
Jialin Li,2023,10.1007/s00259-023-06446-3,Integrating TSPO PET imaging and transcriptomics to unveil the role of neuroinflammation and amyloid-β deposition in Alzheimer's disease.,integrating tspo pet imaging and transcriptomics to unveil the role of neuroinflammation and amyloid-β deposition in alzheimer's disease.
Jialin Li,2017,10.1155/2017/9413060,Experimental and Simulation Research on the Influence of Stirring Parameters on the Distribution of Particles in Cast SiCp/A356 Composites,experimental and simulation research on the influence of stirring parameters on the distribution of particles in cast sicp/a356 composites
Jialin Li,2020,10.1371/journal.pone.0235161,"Prevalence and associated factors of vascular complications among inpatients with type 2 diabetes: A retrospective database study at a tertiary care department, Ningbo, China","prevalence and associated factors of vascular complications among inpatients with type 2 diabetes: a retrospective database study at a tertiary care department, ningbo, china"
Jialin Li,2022,10.33142/rams.v4i1.8458,Study on polyurethane-based porous materials and their adsorption properties,study on polyurethane-based porous materials and their adsorption properties
Jialin Li,2023,10.3389/fphy.2023.1135211,Enhanced terahertz third-harmonic generation by bound states in the continuum in graphene grating-like metamaterial,enhanced terahertz third-harmonic generation by bound states in the continuum in graphene grating-like metamaterial
Jialin Li,2023,10.3389/fgene.2023.1173159,Identification of novel immune ferroptosis-related genes associated with clinical and prognostic features in breast cancer,identification of novel immune ferroptosis-related genes associated with clinical and prognostic features in breast cancer
Jialin Li,2024,10.3389/fcimb.2024.1507332,Characterization of glycogen-related glycoside hydrolase glgX and glgB from Klebsiella pneumoniae and their roles in biofilm formation and virulence,characterization of glycogen-related glycoside hydrolase glgx and glgb from klebsiella pneumoniae and their roles in biofilm formation and virulence
Andrea Stella,2017,10.15366/bp2017.17.013,Foucault and the question of the resistance between “governamentality” and “care”: The “affaire Croissant” and the neoliberalism,foucault and the question of the resistance between “governamentality” and “care”: the “affaire croissant” and the neoliberalism
Andrea Stella,2020,10.14795/j.v7i1_si.495,Constantine the Great and Aquileia: a new hoard evidence,constantine the great and aquileia: a new hoard evidence
Andrea Stella,2015,10.1088/0004-637x/801/2/115,"Testing Gravity with Quasi Periodic Oscillations from accreting Black
  Holes: the Case of Einstein-Dilaton-Gauss-Bonnet Theory","testing gravity with quasi periodic oscillations from accreting black
  holes: the case of einstein-dilaton-gauss-bonnet theory"
Andrea Stella,2019,10.2174/1874842201906010034,"Synthesis, characterization and antifungal assessment of optically active bis-organotin compounds derived from (S)-BINOL diesters","synthesis, characterization and antifungal assessment of optically active bis-organotin compounds derived from (s)-binol diesters"
Andrea Stella,2015,10.1186/s12871-016-0241-y,Anion gap as a prognostic tool for risk stratification in critically ill patients – a systematic review and meta-analysis,anion gap as a prognostic tool for risk stratification in critically ill patients – a systematic review and meta-analysis
Andrea Stella,2012,10.5772/30352,"Resistant Hypertension, Elevated Aldosterone/Renin Ratio and Reduced RGS2: A Pathogenetic Link Deserving Further Investigations?","resistant hypertension, elevated aldosterone/renin ratio and reduced rgs2: a pathogenetic link deserving further investigations?"
Andrea Stella,2016,10.1093/mnras/stw536,"Discovery of spin-up in the X-ray pulsar companion of the hot subdwarf
  HD 49798","discovery of spin-up in the x-ray pulsar companion of the hot subdwarf
  hd 49798"
Andrea Stella,2022,10.1007/978-3-030-91904-7,"The Wounded Body. Memory, Language and the Self from Petrarch to Shakespeare","the wounded body. memory, language and the self from petrarch to shakespeare"
Andrea Stella,2014,10.1093/aobpla/plu042,Physiological responses of a halophytic shrub to salt stress by Na2SO4 and NaCl: oxidative damage and the role of polyphenols in antioxidant protection,physiological responses of a halophytic shrub to salt stress by na2so4 and nacl: oxidative damage and the role of polyphenols in antioxidant protection
Andrea Stella,2016,10.4314/mmj.v28i1.4,"Point-of-care lactate and creatinine analysis for sick obstetric patients at Queen Elizabeth Central Hospital in Blantyre, Malawi : a feasibility study","point-of-care lactate and creatinine analysis for sick obstetric patients at queen elizabeth central hospital in blantyre, malawi : a feasibility study"
Andrea Stella,2016,10.18429/jacow-ibic2016-wepg25,Beam diagnostics for charge and position measurements in ELI-NP GBS,beam diagnostics for charge and position measurements in eli-np gbs
Andrea Stella,2015,10.1016/j.phymed.2015.04.004,Synergistic mutual potentiation of antifungal activity of Zuccagnia punctata Cav. and Larrea nitida Cav. extracts in clinical isolates of Candida albicans and Candida glabrata,synergistic mutual potentiation of antifungal activity of zuccagnia punctata cav. and larrea nitida cav. extracts in clinical isolates of candida albicans and candida glabrata
Andrea Stella,2020,10.14273/unisa-2800,The way we were: technology will change the profession of vascular surgery,the way we were: technology will change the profession of vascular surgery
Andrea Stella,2020,10.6018/daimon.320301,"Filosofía, historia y política en Patočka: la perspectiva del cuidado y el cuidado como (nueva) perspectiva","filosofía, historia y política en patočka: la perspectiva del cuidado y el cuidado como (nueva) perspectiva"
Andrea Stella,2024,10.31577/asnr.2024.66.1.4,The impact of protective psychological factors on teachers in remote teaching activities stress conditions. A preliminary study,the impact of protective psychological factors on teachers in remote teaching activities stress conditions. a preliminary study
Andrea Stella,2020,10.3390/cryst10050350,Rationalization of Lattice Thermal Expansion for Beta-Blocker Organic Crystals,rationalization of lattice thermal expansion for beta-blocker organic crystals
Andrea Stella,2016,10.1038/srep37686,"Early evidence of stone tool use in bone working activities at Qesem Cave, Israel","early evidence of stone tool use in bone working activities at qesem cave, israel"
Andrea Stella,2018,10.18429/jacow-ipac2018-wepal012,Measurements with the ELI-NP cavity Beam Position Monitor Read-out Electronics at FLASH,measurements with the eli-np cavity beam position monitor read-out electronics at flash
Andrea Stella,2015,10.6000/1929-5634.2015.04.01.3,Nutritional status of pregnant mothers influence the health in adult life of their children,nutritional status of pregnant mothers influence the health in adult life of their children
Andrea Stella,2022,10.1007/s12020-022-03005-y,Minimally-invasive treatments for benign thyroid nodules: recommendations for information to patients and referring physicians by the Italian Minimally-Invasive Treatments of the Thyroid group,minimally-invasive treatments for benign thyroid nodules: recommendations for information to patients and referring physicians by the italian minimally-invasive treatments of the thyroid group
Andrea Stella,2012,10.1186/1753-6561-6-s1-p13,Lack of aminoacids in mouse hepatocytes in culture induces the selection of preneoplastic cells,lack of aminoacids in mouse hepatocytes in culture induces the selection of preneoplastic cells
Andrea Stella,2016,10.1186/s12882-016-0291-x,A case report of malignant hypertension in a young woman,a case report of malignant hypertension in a young woman
Andrea Stella,2019,10.1016/j.avsg.2018.08.092,The Outcome of Technical Intraoperative Complications Occurring in Standard Aortic Endovascular Repair,the outcome of technical intraoperative complications occurring in standard aortic endovascular repair
Andrea Stella,2005,10.1186/1471-2105-6-s4-s16,ESTree db: a Tool for Peach Functional Genomics,estree db: a tool for peach functional genomics
Andrea Stella,2020,10.5603/arm.2020.0111,Sialadenoma papilliferum of the bronchus:  a rare tumour of salivary gland origin,sialadenoma papilliferum of the bronchus:  a rare tumour of salivary gland origin
Andrea Stella,2019,10.3390/cryst9100509,Investigating Differences and Similarities between Betaxolol Polymorphs,investigating differences and similarities between betaxolol polymorphs
Andrea Stella,2019,10.2147/ijn.s190188,Biomimetic hydroxyapatite nanocrystals are an active carrier for Salmonella bacteriophages,biomimetic hydroxyapatite nanocrystals are an active carrier for salmonella bacteriophages
Andrea Stella,2021,10.1210/clinem/dgab157,Meta-analysis on the effect of mild primary hyperparathyroidism and parathyroidectomy upon arterial stiffness,meta-analysis on the effect of mild primary hyperparathyroidism and parathyroidectomy upon arterial stiffness
Andrea Stella,2007,10.1002/bmb.85,Teaching lactose metabolism: A complex challenge faced with a simple kit,teaching lactose metabolism: a complex challenge faced with a simple kit
Andrea Stella,2019,10.1017/s0954422418000239,"Interplay between early-life malnutrition, epigenetic modulation of the immune function and liver diseases","interplay between early-life malnutrition, epigenetic modulation of the immune function and liver diseases"
Andrea Stella,2020,10.1145/3379503.3405660,Brotate and Tribike: Designing Smartphone Control for Cycling,brotate and tribike: designing smartphone control for cycling
Andrea Stella,2009,10.1186/1471-2105-10-s12-s2,The Human EST Ontology Explorer: a tissue-oriented visualization system for ontologies distribution in human EST collections,the human est ontology explorer: a tissue-oriented visualization system for ontologies distribution in human est collections
Andrea Stella,2021,10.17169/refubium-36871,Mental health conditions in older multimorbid patients presenting to the emergency department for acute cardiac symptoms: Cross‐sectional findings from the EMASPOT study,mental health conditions in older multimorbid patients presenting to the emergency department for acute cardiac symptoms: cross‐sectional findings from the emaspot study
Andrea Stella,2014,10.1089/mdr.2014.0190,"Clinical, Microbiological, and Genetic Characteristics of Heteroresistant Vancomycin-Intermediate Staphylococcus aureus Bacteremia in a Teaching Hospital","clinical, microbiological, and genetic characteristics of heteroresistant vancomycin-intermediate staphylococcus aureus bacteremia in a teaching hospital"
Andrea Stella,2018,10.3847/2041-8213/aacf40,Discovery of 3 s pulsations from the Brightest Hard X-ray Source in M31,discovery of 3 s pulsations from the brightest hard x-ray source in m31
Andrea Stella,2020,10.18653/v1/2020.acl-main.682,"CompGuessWhat?!: A Multi-task Evaluation Framework for Grounded Language
  Learning","compguesswhat?!: a multi-task evaluation framework for grounded language
  learning"
Andrea Stella,2021,10.3390/antibiotics10091053,Fungal biofilms as a valuable target for the discovery of natural products that cope with the resistance of medically important fungi—Latest findings,fungal biofilms as a valuable target for the discovery of natural products that cope with the resistance of medically important fungi—latest findings
Andrea Stella,2008,10.1093/jhered/esn044,"Mining the Bovine Genome with the ""Bovine SNP Retriever""","mining the bovine genome with the ""bovine snp retriever"""
Andrea Stella,2022,10.1109/robosoft55895.2023.10121999,"Proprioceptive Sensing of Soft Tentacles with Model Based Reconstruction
  for Controller Optimization","proprioceptive sensing of soft tentacles with model based reconstruction
  for controller optimization"
Andrea Stella,2017,10.1038/cdd.2017.164,Caspase-10: a molecular switch from cell-autonomous apoptosis to communal cell death in response to chemotherapeutic drug treatment.,caspase-10: a molecular switch from cell-autonomous apoptosis to communal cell death in response to chemotherapeutic drug treatment.
Andrea Stella,2015,10.1007/s13365-015-0371-x,Blood brain barrier impairment is associated with cerebrospinal fluid markers of neuronal damage in HIV-positive patients,blood brain barrier impairment is associated with cerebrospinal fluid markers of neuronal damage in hiv-positive patients
Andrea Stella,2008,10.1186/1471-2105-9-s2-s9,Version VI of the ESTree db: an improved tool for peach transcriptome analysis,version vi of the estree db: an improved tool for peach transcriptome analysis
Andrea Stella,2017,10.1016/j.cviu.2017.01.002,A technology platform for automatic high-level tennis game analysis,a technology platform for automatic high-level tennis game analysis
Andrea Stella,2019,10.1089/sur.2019.266,Temporins: An Approach of Potential Pharmaceutic Candidates,temporins: an approach of potential pharmaceutic candidates
Andrea Stella,2022,10.1021/acs.cgd.2c00849,"Molecular-Level Investigation of Hydrate–Anhydrous Phase Transformations of the Dapsone Structurally Related Compound 3,3′-Diaminophenyl Sulfone","molecular-level investigation of hydrate–anhydrous phase transformations of the dapsone structurally related compound 3,3′-diaminophenyl sulfone"
Andrea Stella,2018,10.14349/9789585804753.3,Desarrollo de una escala de Brand Equity basada en el modelo de Kevin Keller,desarrollo de una escala de brand equity basada en el modelo de kevin keller
Andrea Stella,2014,10.4161/15384047.2014.972183,DR4 specific TRAIL variants are more efficacious than wild-type TRAIL in pancreatic cancer,dr4 specific trail variants are more efficacious than wild-type trail in pancreatic cancer
Andrea Stella,2021,10.2147/ndt.s300452,Differential diagnosis in children with autistic symptoms and subthreshold ADOS total score: An observational study,differential diagnosis in children with autistic symptoms and subthreshold ados total score: an observational study
Andrea Stella,2011,10.1063/1.3615111,SGR 0418+5729: a low-magnetic-field magnetar,sgr 0418+5729: a low-magnetic-field magnetar
Andrea Stella,2007,10.1186/1750-1172-2-14,Successful whole lung lavage in pulmonary alveolar proteinosis secondary to lysinuric protein intolerance: a case report,successful whole lung lavage in pulmonary alveolar proteinosis secondary to lysinuric protein intolerance: a case report
Andrea Stella,2021,10.1007/s00421-021-04678-5,Post-exercise cardiac autonomic and cardiovascular responses to heart rate-matched and work rate-matched hypoxic exercise,post-exercise cardiac autonomic and cardiovascular responses to heart rate-matched and work rate-matched hypoxic exercise
Andrea Stella,2022,10.3389/fcell.2022.1082947,Cerebellar mutism syndrome: from pathophysiology to rehabilitation,cerebellar mutism syndrome: from pathophysiology to rehabilitation
Andrea Stella,2019,10.1097/scs.0000000000005305,Volumetric Analysis of Fat Injection by Computerized Tomography in Orthognathic Surgery: Preliminary Report on a Novel Volumetric Analysis Process for the Quantification of Aesthetic Results,volumetric analysis of fat injection by computerized tomography in orthognathic surgery: preliminary report on a novel volumetric analysis process for the quantification of aesthetic results
Andrea Stella,2012,10.1016/j.jvs.2012.03.103,PS20. Endovascular Repair Using Standard Suprarenal Fixation Endograft Is Feasible and Effective in Abdominal Aortic Aneurysm with Infra-renal Neck Length 5-10 mm,ps20. endovascular repair using standard suprarenal fixation endograft is feasible and effective in abdominal aortic aneurysm with infra-renal neck length 5-10 mm
Andrea Stella,2011,10.7175/cmi.v5i4.498,Who should be screened for secondary causes of hypertension?,who should be screened for secondary causes of hypertension?
Andrea Stella,2022,10.14198/cuid.2022.64.13,"Narrativa ""amar, cuidar e transcender"": Contribuição ao conhecimento da enfermagem","narrativa ""amar, cuidar e transcender"": contribuição ao conhecimento da enfermagem"
David Frisvold,2023,10.1017/wet.2023.66,Extension Event Attendance increases Adoption of weed management practices by sports field managers,extension event attendance increases adoption of weed management practices by sports field managers
David Frisvold,2024,10.3390/agronomy14112720,How Does Herbicide Resistance Change Farmer’s Weed Management Decisions? Evidence from the Roundup Ready Experiment,how does herbicide resistance change farmer’s weed management decisions? evidence from the roundup ready experiment
David Frisvold,2015,10.1093/ajae/aaw001,Testing for Complementarity: Glyphosate Tolerant Soybeans and Conservation Tillage,testing for complementarity: glyphosate tolerant soybeans and conservation tillage
David Frisvold,2024,10.1186/s13054-024-04951-x,Targeted temperature control following traumatic brain injury:ESICM/NACCS best practice consensus recommendations,targeted temperature control following traumatic brain injury:esicm/naccs best practice consensus recommendations
David Frisvold,2020,10.1089/neu.2020.7228,Differences between Men and Women in Treatment and Outcome after Traumatic Brain Injury,differences between men and women in treatment and outcome after traumatic brain injury
David Frisvold,2018,10.1186/s13054-018-2241-4,Brain death and postmortem organ donation : report of a questionnaire from the CENTER-TBI study,brain death and postmortem organ donation : report of a questionnaire from the center-tbi study
David Frisvold,2020,10.17863/cam.49124,Changing care pathways and between-center practice variations in intensive care for traumatic brain injury across Europe: a CENTER-TBI analysis.,changing care pathways and between-center practice variations in intensive care for traumatic brain injury across europe: a center-tbi analysis.
David Frisvold,2020,10.1136/jnnp-2020-324492,Understanding the relationship between cognitive performance and function in daily life after traumatic brain injury,understanding the relationship between cognitive performance and function in daily life after traumatic brain injury
David Frisvold,2024,10.1016/j.ebiom.2024.105310,Parsimonious immune-response endotypes and global outcome in patients with traumatic brain injury,parsimonious immune-response endotypes and global outcome in patients with traumatic brain injury
David Frisvold,2024,10.7189/jogh.14.04227,"Disparities in casemix, acute interventions, discharge destinations and mortality of patients with traumatic brain injury between Europe and India","disparities in casemix, acute interventions, discharge destinations and mortality of patients with traumatic brain injury between europe and india"
David Frisvold,2020,10.1186/s13054-020-2791-0,Quality indicators for patients with traumatic brain injury in European intensive care units,quality indicators for patients with traumatic brain injury in european intensive care units
David Frisvold,2020,10.1007/s00134-020-05965-z,Changing care pathways and between-center practice variations in intensive care for traumatic brain injury across Europe,changing care pathways and between-center practice variations in intensive care for traumatic brain injury across europe
David Frisvold,2021,10.17863/cam.73160,"Evaluation of the relationship between slow-waves of intracranial pressure, mean arterial pressure and brain tissue oxygen in TBI: a CENTER-TBI exploratory analysis","evaluation of the relationship between slow-waves of intracranial pressure, mean arterial pressure and brain tissue oxygen in tbi: a center-tbi exploratory analysis"
David Frisvold,2022,10.1038/s41598-022-20170-2,Measurement invariance of six language versions of the post-traumatic stress disorder checklist for DSM-5 in civilians after traumatic brain injury,measurement invariance of six language versions of the post-traumatic stress disorder checklist for dsm-5 in civilians after traumatic brain injury
