title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms,location
Minding Your Ps and Qs: Going from Micro to Macro in Measuring Prices and Quantities,https://doi.org/10.23889/ijpds.v3i5.1055,"Key macro indicators such as output, productivity and inflation are based on a complex system of collection from different samples and different levels of aggregation across multiple statistical agencies. The Census Bureau collects nominal sales, the Bureau of Labor Statistics collects prices, and the Bureau of Economic Analysis constructs nominal and real GDP using these and other data sources. The price and quantity data are integrated at a high level of aggregation (product and industry classes). A similar mismatch of price and nominal variables pervades the productivity data, which use industry-level producer price indexes as deflators. This paper explores alternative methods for re-engineering key national output and price indices using transactions-level data. Such re-engineering offers the promise of greatly improved macroeconomic data along many dimensions. First, price and quantity would be based on the same observations. Second, the granularity of data could be greatly increased on many dimensions. Third, time series could be constructed at a higher frequency and on a more timely basis. Fourth, the use of transactions-level data opens the door to new methods for tracking product turnover and other sources of product quality change that may be biasing the key national indicators. Implementing such a new architecture for measuring economic activity and price change poses considerable challenges. This paper explores these challenges, along with a re-engineered approach’s implications for the biases in the traditional approaches to measuring output growth, productivity growth, and inflation.",2018,2018-10-11,1,"{'Gabe Ehrlich', 'Ron S. Jarmin', 'John Haltiwanger', 'David Johnson'}","University of Michigan–Ann Arbor; University of Maryland, College Park; United States Census Bureau; University of Michigan–Ann Arbor",Complex Systems and Time Series Analysis; Monetary Policy and Economic Impact,International Journal for Population Data Science,article,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
Technology and the Demand for Skill:An Analysis of Within and Between Firm Differences,https://doi.org/10.3386/w13043,"We estimate the effects of technology investments on the demand for skilled workers using longitudinally integrated employer-employee data from the U.S. Census Bureau's Longitudinal Employer-Household Dynamics Program infrastructure files spanning two Economic Censuses (1992 and 1997).We estimate the distribution of human capital and its observable and unobservable components within each business for each year from 1992 to 1997.We measure technology using variables from the Annual Survey of Manufactures and the Business Expenditures Survey (services, wholesale and retail trade), both administered during the 1992 Economic Census.Static and partial adjustment models are fit.There is a strong positive empirical relationship between advanced technology and skill in a cross-sectional analysis of businesses in both sectors.The more comprehensive measures of skill reveal that advanced technology interacts with each component of skill quite differently: firms that use advanced technology are more likely to use high-ability workers, but less likely to use high-experience workers.These results hold even when we control for unobservable heterogeneity by means of a selection correction and by using a partial adjustment specification.",2007,2007-04-01,60,"{'John M. Abowd', 'Julia Lane', 'Kevin L. McKinney', 'Kristin Sandusky', 'John Haltiwanger'}","National Bureau of Economic Research; University of Maryland, College Park; National Opinion Research Center; University of Chicago; United States Census Bureau; University of California, Los Angeles; Cornell University; National Bureau of Economic Research; University of Maryland, College Park; National Opinion Research Center; University of Chicago; United States Census Bureau; University of California, Los Angeles; Cornell University; Cornell University; National Bureau of Economic Research; University of Maryland, College Park; National Opinion Research Center; University of Chicago; United States Census Bureau; University of California, Los Angeles; National Opinion Research Center; University of Chicago; University of California, Los Angeles; United States Census Bureau; National Bureau of Economic Research; University of Maryland, College Park; Cornell University; National Bureau of Economic Research; University of Maryland, College Park; National Opinion Research Center; University of Chicago; United States Census Bureau; University of California, Los Angeles; Cornell University",Labor market dynamics and wage inequality; Firm Innovation and Growth; Regional Economics and Spatial Analysis,,report,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
"Financing, Ownership, and Performance: A Novel, Longitudinal Firm-Level Database",https://doi.org/10.2139/ssrn.5086297,"The Census Bureau's Longitudinal Business Database (LBD) underpins many studies of firm-level behavior. It tracks longitudinally all employers in the nonfarm private sector but lacks information about business financing and owner characteristics. We address this shortcoming by linking LBD observations to firm-level data drawn from several large Census Bureau surveys. The resulting Longitudinal Employer, Owner, and Financing (LEOF) database contains more than 3 million observations at the firm-year level with information about start-up financing, current financing, owner demographics, ownership structure, profitability, and owner aspirations-all linked to annual firm-level employment data since the firm hired its first employee. Using the LEOF database, we document trends in owner demographics and financing patterns and investigate how these business characteristics relate to firm-level employment outcomes.",2025,2025-01-01,0,"{'J. David Brown', 'John Sabelhaus', 'Lucia Foster', 'Steven J. Davis', 'John Haltiwanger'}","IZA - Institute of Labor Economics; United States Census Bureau; Stanford University; United States Census Bureau; University of Maryland, College Park; National Bureau of Economic Research; IZA - Institute of Labor Economics; Brookings Institution","Migration, Ethnicity, and Economy; Migration and Labor Dynamics; Urban, Neighborhood, and Segregation Studies",,preprint,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
Business Dynamics Statistics Briefing: Historically Large Decline in Job Creation from Startup and Existing Firms in the 2008-2009 Recession,https://doi.org/10.2139/ssrn.1793167,"The Census Bureau's Business Dynamics Statistics (BDS) provides data on business dynamics for U.S. firms and establishments with paid employees. This briefing highlights some key features of the most recent BDS update, which now has data through 2009 - the trough of the recent recession.",2011,2011-01-01,24,"{'Javier Miranda', 'Ron S. Jarmin', 'John Haltiwanger'}","University of Maryland, College Park; IZA - Institute of Labor Economics; National Bureau of Economic Research; United States Census Bureau; United States Census Bureau",Firm Innovation and Growth,SSRN Electronic Journal,article,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
Opening the Black Box: Task and Skill Mix and Productivity Dispersion,https://doi.org/10.2139/ssrn.4234908,"An important gap in most empirical studies of establishment-level productivity is the limited information about workers' characteristics and their tasks. Skill-adjusted labor input measures have been shown to be important for aggregate productivity measurement. Moreover, the theoretical literature on differences in production technologies across businesses increasingly emphasizes the task content of production. Our ultimate objective is to open this black box of tasks and skills at the establishment-level by combining establishment-level data on occupations from the Bureau of Labor Statistics (BLS) with a restricted-access establishment-level productivity dataset created by the BLS-Census Bureau Collaborative Micro-productivity Project. We take a first step toward this objective by exploring the conceptual, specification, and measurement issues to be confronted. We provide suggestive empirical analysis of the relationship between within-industry dispersion in productivity and tasks and skills. We find that within-industry productivity dispersion is strongly positively related to within-industry task/skill dispersion.",2022,2022-01-01,0,"{'Matt Dey', 'G. Jacob Blackwood', 'Cindy Cunningham', 'Cheryl Grim', 'Zoltán Wolf', 'Jay Stewart', 'Lucia Foster', 'Sabrina Wulff Pabilonia', 'Cody Tuttle', 'Rachel Nesbit', 'John Haltiwanger'}","Amherst College; Bureau of Labor Statistics; United States Census Bureau; United States Census Bureau; IZA - Institute of Labor Economics; National Bureau of Economic Research; University of Maryland, College Park; University of Maryland, College Park; Bureau of Labor Statistics; IZA - Institute of Labor Economics; Bureau of Labor Statistics; The University of Texas at Austin; United States Census Bureau",Labor market dynamics and wage inequality,SSRN Electronic Journal,article,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
Opening the Black Box: Task and Skill Mix and Productivity Dispersion,https://doi.org/10.2139/ssrn.4269912,"An important gap in most empirical studies of establishment-level productivity is the limited information about workers’ characteristics and their tasks. Skill-adjusted labor input measures have been shown to be important for aggregate productivity measurement. Moreover, the theoretical literature on differences in production technologies across businesses increasingly emphasizes the task content of production. Our ultimate objective is to open this black box of tasks and skills at the establishment-level by combining establishment-level data on occupations from the Bureau of Labor Statistics (BLS) with a restricted-access establishment-level productivity dataset created by the BLS-Census Bureau Collaborative Micro-productivity Project. We take a first step toward this objective by exploring the conceptual, specification, and measurement issues to be confronted. We provide suggestive empirical analysis of the relationship between within-industry dispersion in productivity and tasks and skills. We find that within-industry productivity dispersion is strongly positively related to within-industry task/skill dispersion.Institutional subscribers to the NBER working paper series, and residents of developing countries may download this paper without additional charge at www.nber.org.",2022,2022-01-01,0,"{'G. Jacob Blackwood', 'Cindy Cunningham', 'Cheryl Grim', 'Zoltán Wolf', 'Jay Stewart', 'Matthew Dey', 'Lucia Foster', 'Sabrina Wulff Pabilonia', 'Cody Tuttle', 'Rachel Nesbit', 'John Haltiwanger'}","Amherst College; Bureau of Labor Statistics; Bureau of Labor Statistics; United States Census Bureau; United States Census Bureau; National Bureau of Economic Research; University of Maryland, College Park; IZA - Institute of Labor Economics; United States Census Bureau; Bureau of Labor Statistics; Bureau of Labor Statistics; IZA - Institute of Labor Economics; The University of Texas at Austin; United States Census Bureau",Labor market dynamics and wage inequality,SSRN Electronic Journal,article,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
Entrepreneurship During the COVID-19 Pandemic: Evidence from the Business Formation Statistics,https://doi.org/10.3386/w28912,"Applications for new businesses from the U.S. Census Bureau's monthly and weekly Business Formation Statistics (BFS) fell substantially in the early stages of the pandemic but then surged in the second half of 2020.This surge has continued through May 2021.The pace of applications since mid-2020 is the highest on record (earliest data available is 2004).The large increase in applications is for both likely new employers and nonemployers.These patterns contrast sharply with those in the Great Recession when applications for likely new employer businesses and in turn actual startups of employer businesses declined sharply and persistently.The surge in new business applications has been uneven across sectors.Ten 3-digit NAICS industries account for 75% of the surge.Dominant industries include Nonstore Retail (alone accounting for 33% of the surge), Professional, Scientific and Technical Services, Truck Transportation, and Accommodation and Food Services.Given that existing small businesses in Retail Trade and Accommodation and Food Services have suffered especially large declines in the pandemic, these patterns are consistent with restructuring induced by the pandemic.",2021,2021-06-01,33,{'John Haltiwanger'},"National Bureau of Economic Research; University of Maryland, College Park",COVID-19 Pandemic Impacts; Consumer Retail Behavior Studies,,preprint,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
Firm Age and Size in the Longitudinal Employer-Household Dynamics Data,https://doi.org/10.2139/ssrn.2423452,"The Census Bureau's Quarterly Workforce Dynamics (QWI) and OnTheMap now provide detailed workforce statistics by employer age and size. These data allow a first look at the demographics of workers at small and young businesses as well as detailed analysis of how hiring, turnover, job creation/destruction vary throughout a firm's lifespan. Both the QWI and OnTheMap are tabulated from the Longitudinal Employer-Household Dynamics (LEHD) linked employer-employee data. Firm age and size information was added to the LEHD data through integration of Business Dynamics Statistics (BDS) microdata into the LEHD jobs frame. This paper describes how these two new firm characteristics were added to the microdata and how they are tabulated in QWI and OnTheMap.",2014,2014-01-01,19,"{'Erika McEntarfer', 'Liliana D. Sousa', 'Henry R. Hyatt', 'Stephen Tibbets', 'John Haltiwanger'}","University of Maryland, College Park; National Bureau of Economic Research; IZA - Institute of Labor Economics; United States Census Bureau; United States Census Bureau; United States Census Bureau",Firm Innovation and Growth; Labor market dynamics and wage inequality; Entrepreneurship Studies and Influences,SSRN Electronic Journal,article,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
"Private Equity, Jobs, and Productivity: Reply to Ayash and Rastad",https://doi.org/10.2139/ssrn.3113272,"Ayash and Rastad (2017) express several concerns about our 2014 analysis of private equity buyouts. We welcome their interest in our work but think their criticisms are off the mark. Some of their claims reflect a misunderstanding of the Census Bureau’s Longitudinal Business Database (LBD) and its underlying data inputs. Because the LBD has emerged as a major laboratory for empirical studies in economics and finance, we use this opportunity to reiterate and clarify some of its important features. In a similar spirit, we elaborate on steps taken to develop our large sample of private equity buyouts. We also address Ayash and Rastad’s remarks about the empirical design of our establishment-level analysis, our methods for distinguishing between leveraged buyouts (LBOs) and other private equity transactions, bankruptcy rates among firms acquired in LBOs, their assertion that we undercount large public-to-private LBOs, and other matters.",2018,2018-01-01,2,"{'Ron S. Jarmin', 'Kyle Handley', 'Javier Miranda', 'Steven J. Davis', 'Josh Lerner', 'John Haltiwanger'}","University of Chicago; Hoover Institution; National Bureau of Economic Research; IZA - Institute of Labor Economics; National Bureau of Economic Research; University of Maryland, College Park; University of California, San Diego; National Bureau of Economic Research; United States Census Bureau; Entrepreneurial Ecosystems; Harvard University; National Bureau of Economic Research; United States Census Bureau",Economic Growth and Productivity; Economic Growth and Development; Private Equity and Venture Capital,SSRN Electronic Journal,article,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
Business Applications as a Leading Economic Indicator?,https://doi.org/10.3386/w33224,"How are applications to start new businesses related to aggregate economic activity?This paper explores the properties of three monthly business application series from the U.S. Census Bureau's Business Formation Statistics as economic indicators: all business applications, business applications that are relatively likely to turn into new employer businesses (""likely employers""), and the residual series --business applications that have a relatively low rate of becoming employers (""likely non-employers"").Growth in applications for likely employers significantly leads total nonfarm employment growth and has a strong positive correlation with it.Furthermore, growth in applications for likely employers leads growth in most of the monthly Principal Federal Economic Indicators (PFEIs).Motivated by our findings, we estimate a dynamic factor model (DFM) to forecast nonfarm employment growth over a 12-month period using the PFEIs and the likely employers series.The latter improves the model's forecast, especially in the years following the turning points of the Great Recession and the COVID-19 pandemic.Overall, applications for likely employers are a strong leading indicator of monthly PFEIs and aggregate economic activity, whereas applications for likely non-employers provide early information about changes in increasingly prevalent self-employment activity in the U.S. economy.",2024,2024-12-01,0,"{'Rebecca Hutchinson', 'Alyson Plumb', 'Emin Dinlersoz', 'John Haltiwanger', 'Jose Asturias'}","University of Maryland, College Park; National Bureau of Economic Research; United States Census Bureau; National Bureau of Economic Research; United States Census Bureau; University of Maryland, College Park; National Bureau of Economic Research; United States Census Bureau; University of Maryland, College Park; National Bureau of Economic Research; United States Census Bureau; University of Maryland, College Park; National Bureau of Economic Research; United States Census Bureau; University of Maryland, College Park",,,report,John C Haltiwanger,https://openalex.org/A5010043276,LEHD Employer Characteristics File (ECF) T26 Components - 2014; Service Annual Survey; Census Bureau,Census Bureau,Baruch
Application of Experimental Poverty Measures to the Aged,,"Summary The U.S. Census Bureau recently released new, experimental measures of poverty based on a National Academy of Sciences (NAS) panel’s recommendations. This article examines the effects of the experimental measures on poverty rates among persons aged 65 or older in order to help inform policy debate. Policymakers and analysts use poverty rates to measure the successes and failures of existing programs and to create and defend new policy initiatives. The Census Bureau computes the official rates of poverty using poverty thresholds and definitions of countable income that have changed little since the official poverty measure was adopted in 1965.",1999,1999-01-01,0,"{'Rob Gesumaria', 'Denny Vaughan', 'John Iceland'}",,"Income, Poverty, and Inequality; Gender, Labor, and Family Dynamics; Urban, Neighborhood, and Segregation Studies",,article,John D Iceland,https://openalex.org/A5043099100,FSRDC; Census Bureau; Penn State RDC; Survey of Income and Program Participation (SIPP) Panels,Census Bureau,Penn State
Who Gains from Creative Destruction? Evidence from High-Quality Entrepreneurship in the United States,,"The question of who gains from high-quality entrepreneurship is crucial to understanding whether investments in incubating potentially innovative start-up firms will produce socially beneficial outcomes. We attempt to bring new evidence to this question by combining new aggregate measures of local area income inequality and income mobility with measures of entrepreneurship from Guzman and Stern (2017). Our new aggregate measures are generated by linking American Community Survey data with the universe of IRS 1040 tax returns. In both fixed effects and IV models using a Bartik-style instrument, we find that entrepreneurship increases income inequality. Further, we find that this increase in income inequality arises due to the fact that almost all of the individual gains associated with increased entrepreneurship accrue to the top 10 percent of the income distribution. While we find mixed evidence for small positive effects of entrepreneurship lower on the income distribution, we find little if any evidence that entrepreneurship increases income mobility.",2019,2019-01-01,8,"{'John Voorheis', 'Astrid Marinoni'}",,Entrepreneurship Studies and Influences; Labor market dynamics and wage inequality; Firm Innovation and Growth,RePEc: Research Papers in Economics,preprint,John L Voorheis,https://openalex.org/A5045851914,American Community Survey; BOC PIK Crosswalk Census Unedited File (CUF),American Community Survey,Michigan
"Air Quality, Human Capital Formation and the Long-term Effects of Environmental Inequality at Birth",,"A growing body of literature suggests that pollution exposure early in life can have substantial long term effects on an individual’s economic well-being as an adult, however the mechanisms for these effects remain unclear. I contribute to this literature by examining the effect of pollution exposure on several intermediate determinants of adult wages using a unique linked dataset for a large sample of individuals from two cohorts: an older cohort born around the 1970, and a younger cohort born around 1990. This dataset links responses to the American Community Survey to SSA administrative data, the universe of IRS Form 1040 tax returns, pollution concentration data from EPA air quality monitors and satellite remote sensing observations. In both OLS and IV specifications, I find that pollution exposure at birth has a large and economically significant effect on college attendance among 19-22 year olds. Using conventional estimates of the college wage premium, these effects imply that a 10 µg/m3 decrease in particulate matter exposure at birth is associated with a $190 per year increase in annual wages. This effect is smaller than the wage effects in the previous literature, which suggests that human capital acquisition associated with cognitive skills cannot fully explain the long term wage effects of pollution exposure. Indeed, I find evidence for an additional channel working through non-cognitive skill -pollution exposure at birth increases high school non-completion and incarceration among 16-24 year olds, and that these effects are concentrated within disadvantaged communities, with larger effects for non-whites and children of poor parents. I also find that pollution exposure during adolescence has statistically significant effects on high school non-completion and incarceration, but no effect on college attendance. These results suggest that the long term effects of pollution exposure on economic well-being may run through multiple channels, of which both non-cognitive skills and cognitive skills may play a role.",2017,2017-05-01,12,{'John Voorheis'},,"Air Quality and Health Impacts; Fiscal Policy and Economic Growth; Energy, Environment, Economic Growth",RePEc: Research Papers in Economics,preprint,John L Voorheis,https://openalex.org/A5045851914,American Community Survey; BOC PIK Crosswalk Census Unedited File (CUF),American Community Survey,Michigan
The Impact of Manufacturing Credentials on Earnings and the Probability of Employment,https://doi.org/10.1177/00197939241256871,"This article examines the labor market returns to earning industry-certified credentials in the manufacturing sector. Specifically, the authors are interested in estimating the impact of a manufacturing credential on earnings and probability of employment, both overall and within the pre- and post-credential industry of employment. They link students who earned manufacturing credentials to their educational enrollment and completion records, and then further link them to IRS tax records for earnings and employment and to the American Community Survey and decennial census for demographic information. Earnings trajectories are presented for workers with credentials by demographic group, including age, race/ethnicity, gender, and educational attainment. To obtain more causal estimates of the labor market impacts of credentials, the authors implement a coarsened exact matching strategy to compare outcomes between otherwise similar people with and without credentials. Findings show that the attainment of a manufacturing industry credential is associated with increasingly higher earnings and a higher likelihood of labor market participation.",2024,2024-06-10,1,"{'Gardner Carrick', 'Caroline Walker', 'Nikolas Pharris-Ciurej', 'Vanessa Brown', 'Maggie R. Jones', 'John Voorheis'}",United States Census Bureau,"Occupational and Professional Licensing Regulation; Labor market dynamics and wage inequality; Retirement, Disability, and Employment",ILR Review,article,John L Voorheis,https://openalex.org/A5045851914,American Community Survey; BOC PIK Crosswalk Census Unedited File (CUF),American Community Survey,Michigan
The Impact of Manufacturing Credentials on Earnings and the Probability of Employment,https://doi.org/10.1177/00197939241256871,"This article examines the labor market returns to earning industry-certified credentials in the manufacturing sector. Specifically, the authors are interested in estimating the impact of a manufacturing credential on earnings and probability of employment, both overall and within the pre- and post-credential industry of employment. They link students who earned manufacturing credentials to their educational enrollment and completion records, and then further link them to IRS tax records for earnings and employment and to the American Community Survey and decennial census for demographic information. Earnings trajectories are presented for workers with credentials by demographic group, including age, race/ethnicity, gender, and educational attainment. To obtain more causal estimates of the labor market impacts of credentials, the authors implement a coarsened exact matching strategy to compare outcomes between otherwise similar people with and without credentials. Findings show that the attainment of a manufacturing industry credential is associated with increasingly higher earnings and a higher likelihood of labor market participation.",2024,2024-06-10,1,"{'Gardner Carrick', 'Caroline Walker', 'Nikolas Pharris-Ciurej', 'Vanessa Brown', 'Maggie R. Jones', 'John Voorheis'}",United States Census Bureau,"Occupational and Professional Licensing Regulation; Labor market dynamics and wage inequality; Retirement, Disability, and Employment",ILR Review,article,John L Voorheis,https://openalex.org/A5045851914,Decennial Census; Disclosure Avoidance Population Tables; Census Bureau,Decennial Census,Michigan
Correctional Facility and Inmate Locations: Urban and Rural Status Patterns,,"As the incarcerated population grew from the 1980s through the late 2000s, so too did the number of correctional facilities. An increasing number of these facilities have been constructed in rural areas. While research has shown there has been growth in prisons and prisoners in rural areas, there are no recent national-level statistics regarding the urban-rural status of correctional facilities and inmates, the urban-rural status of inmates prior to prison, or an accounting of how many inmates from urban or rural areas are incarcerated in urban and rural facilities. Using 2010 decennial census and Bureau of Justice Statistics’ 2004 Survey of Prison Inmates data we describe these patterns. We find that a disproportionate share of prisons and inmates are located in rural areas, while a disproportionate share of inmates are from urban areas. Our research could inform discussions about the potential consequences of Census Bureau residence criteria for inmates.",2017,2017-01-01,0,"{'Sonya R. Porter', 'John Voorheis', 'William J. Sabol'}",,"Homelessness and Social Issues; Criminal Justice and Corrections Analysis; Urban, Neighborhood, and Segregation Studies",RePEc: Research Papers in Economics,preprint,John L Voorheis,https://openalex.org/A5045851914,Decennial Census; Disclosure Avoidance Population Tables; Census Bureau,Decennial Census; Census Bureau,Michigan
What Caused Racial Disparities in Particulate Exposure to Fall? New Evidence from the Clean Air Act and Satellite-Based Measures of Air Quality,,"Racial differences in exposure to ambient air pollution have declined significantly in the United States over the past 20 years. This project links restricted-access Census Bureau microdata to newly available, spatially continuous high resolution measures of ambient particulate pollution (PM2.5) to examine the underlying causes and consequences of differences in black-white pollution exposures. We begin by decomposing differences in pollution exposure into components explained by observable population characteristics (e.g., income) versus those that remain unexplained. We then use quantile regression methods to show that a significant portion of the unexplained convergence in black-white pollution exposure can be attributed to differential impacts of the Clean Air Act (CAA) in non-Hispanic African American and non-Hispanic white communities. Areas with larger black populations saw greater CAA-related declines in PM2.5 exposure. We show that the CAA has been the single largest contributor to racial convergence in PM2.5 pollution exposure in the U.S. since 2000, accounting for over 60 percent of the reduction.

Institutional subscribers to the NBER working paper series, and residents of developing countries may download this paper without additional charge at www.nber.org.",2020,2020-01-01,0,"{'John Voorheis', 'Janet Currie', 'Reed Walker'}","National Bureau of Economic Research; Princeton University; University of Oregon; National Bureau of Economic Research; University of California, Berkeley",Air Quality and Health Impacts; Environmental Justice and Health Disparities; Impact of Light on Environment and Health,,article,John L Voorheis,https://openalex.org/A5045851914,Decennial Census; Disclosure Avoidance Population Tables; Census Bureau,Census Bureau,Michigan
Replication Data for: The Opportunity Atlas: Mapping the Childhood Roots of Social Mobility,https://doi.org/10.7910/dvn/nkcqm1,"This dataset contains replication files for ""The Opportunity Atlas: Mapping the Childhood Roots of Social Mobility"" by Raj Chetty, John Friedman, Nathaniel Hendren, Maggie R. Jones, and Sonya R. Porter. For more information, see https://opportunityinsights.org/paper/the-opportunity-atlas/. A summary of the related publication follows. We construct a publicly available atlas of children’s outcomes in adulthood by Census tract using anonymized longitudinal data covering nearly the entire U.S. population. For each tract, we estimate children’s earnings distributions, incarceration rates, and other outcomes in adulthood by parental income, race, and gender. These estimates allow us to trace the roots of outcomes such as poverty and incarceration back to the neighborhoods in which children grew up. We find that children’s outcomes vary sharply across nearby tracts: for children of parents at the 25th percentile of the income distribution, the standard deviation of mean household income at age 35 is $5,000 across tracts within counties. We illustrate how these tract-level data can provide insight into how neighborhoods shape the development of human capital and support local economic policy using two applications. First, we show that the estimates permit precise targeting of policies to improve economic opportunity by uncovering specific neighborhoods where certain subgroups of children grow up to have poor outcomes. Neighborhoods matter at a very granular level: conditional on characteristics such as poverty rates in a child’s own Census tract, characteristics of tracts that are one mile away have little predictive power for a child’s outcomes. Our historical estimates are informative predictors of outcomes even for children growing up today because neighborhood conditions are relatively stable over time. Second, we show that the observational estimates are highly predictive of neighborhoods’ causal effects, based on a comparison to data from the Moving to Opportunity experiment and a quasi-experimental research design analyzing movers’ outcomes. We then identify high-opportunity neighborhoods that are affordable to low-income families, providing an input into the design of affordable housing policies. Our measures of children’s long-term outcomes are only weakly correlated with traditional proxies for local economic success such as rates of job growth, showing that the conditions that create greater upward mobility are not necessarily the same as those that lead to productive labor markets. Click here to view the Opportunity Atlas Any opinions and conclusions expressed herein are those of the authors and do not necessarily reflect the views of the U.S. Census Bureau. All results have been reviewed to ensure that no confidential information is disclosed. The statistical summaries reported in this paper have been cleared by the Census Bureau’s Disclosure Review Board release authorization number CBDRB-FY18-319.",2022,2022-01-01,3,"{'John N. Friedman', 'Sonya R. Porter', 'Raj Chetty', 'Nathaniel Hendren', 'Maggie R. Jones'}",,"Urban, Neighborhood, and Segregation Studies",Harvard Dataverse,dataset,John N Friedman,https://openalex.org/A5080908193,American Community Survey; FSRDC; Boston RDC; Census Bureau,Census Bureau,Boston
Replication Data for: A Practical Method to Reduce Privacy Loss when Disclosing Statistics Based on Small Samples,https://doi.org/10.7910/dvn/rchdxx,"This dataset contains replication files for ""A Practical Method to Reduce Privacy Loss when Disclosing Statistics Based on Small Samples"" by Raj Chetty and John Friedman. For more information, see https://opportunityinsights.org/paper/differential-privacy/. A summary of the related publication follows. Releasing statistics based on small samples – such as estimates of social mobility by Census tract, as in the Opportunity Atlas – is very valuable for policy but can potentially create privacy risks by unintentionally disclosing information about specific individuals. To mitigate such risks, we worked with researchers at the Harvard Privacy Tools Project and Census Bureau staff to develop practical methods of reducing the risks of privacy loss when releasing such data. This paper describes the methods that we developed, which can be applied to disclose any statistic of interest that is estimated using a sample with a small number of observations. We focus on the case where the dataset can be broken into many groups (“cells”) and one is interested in releasing statistics for one or more of these cells. Building on ideas from the differential privacy literature, we add noise to the statistic of interest in proportion to the statistic’s maximum observed sensitivity, defined as the maximum change in the statistic from adding or removing a single observation across all the cells in the data. Intuitively, our approach permits the release of statistics in arbitrarily small samples by adding sufficient noise to the estimates to protect privacy. Although our method does not offer a formal privacy guarantee, it generally outperforms widely used methods of disclosure limitation such as count-based cell suppression both in terms of privacy loss and statistical bias. We illustrate how the method can be implemented by discussing how it was used to release estimates of social mobility by Census tract in the Opportunity Atlas. We also provide a step-by-step guide and illustrative Stata code to implement our approach.",2022,2022-01-01,0,"{'John N. Friedman', 'Raj Chetty'}",,Privacy-Preserving Technologies in Data,Harvard Dataverse,dataset,John N Friedman,https://openalex.org/A5080908193,American Community Survey; FSRDC; Boston RDC; Census Bureau,Census Bureau,Boston
The reallocative employee costs of corporate bankruptcy,,"61 p. ; Includes bibliographical references (pp. 33-37). ; October 2015. ; The authors wish to thank Ashwini Agrawal (discussant), Jonathan Berk, Rob Fairlie, Todd Gormley, Joseph Hotz, Pab Jotikasthira
(discussant), Andrew Karolyi, Bryant Kim, David Matsa, Roni Michaely, Paige Ouimet (discussant), Karin
Thorburn (discussant), Michael Waldman, Wei Wang (discussant), Liu Yang (discussant), Hayong Yun, and
seminar and conference participants at AFA, Census Bureau RDC Conference, CICF, CSEF-EIEF-SITE Conference
on Finance and Labor, Cornell University, EFA, FIRS conference, IDC Summer Finance Conference, SFS Finance
Cavalcade, SOLE/EALE, and University of Calgary for helpful feedback. We also thank Bert Grider at the Triangle
CRDC for help with data and clearance requests, and Cindy Lu for research assistance. Any opinions and
conclusions expressed herein are those of the author and do not necessarily represent the views of the U.S. Census
Bureau. All results have been reviewed to ensure that no confidential information is disclosed. This research uses
data from the Census Bureau's Longitudinal Employer Household Dynamics Program, which was partially
supported by the following National Science Foundation Grants SES-9978093, SES-0339191 and ITR-0427889;
National Institute on Aging Grant AG018854; and grants from the Alfred P. Sloan Foundation. We are grateful to
Lynn LoPucki of UCLA for sharing his Bankruptcy Research Database. Kim acknowledges generous financial
support from the Kwanjeong Educational Foundation. Li and Qiu acknowledge financial support from the Social
Sciences and Humanities Research Council of Canada. This paper was previously circulated under the title “Human
Capital Loss in Corporate Bankruptcy.”",2015,2015-10-01,4,"{'Jiaping Qiu', 'Si Li', 'John R. Graham', 'Hyunseob Kim'}",,Corporate Insolvency and Governance; Corporate Finance and Governance; Financial Distress and Bankruptcy Prediction,,article,John R Graham,https://openalex.org/A5102011938,Annual Survey of Manufactures; Standard Statistical Establishment Listing; Census Bureau,Census Bureau,Triangle
