,ProjectID,ProjectStatus,ProjectTitle,ProjectRDC,ProjectStartYear,ProjectEndYear,ProjectPI,OutputTitle,OutputBiblio,OutputType,OutputStatus,OutputVenue,OutputYear,OutputMonth,OutputVolume,OutputNumber,OutputPages,DOI,Authors,Abstract,DoiExtract,NormTitle,MatchType,Uniqueness,FuzzScores,FSRDC_related
198,33615801,,Synthetic Establishment Microdata Around the World,,,,"Vilhuber, Lars",Synthetic Establishment Microdata Around the World,,,,,,,,,,,"Vilhuber, Lars, Abowd, John, Reiter, Jerome P","In contrast to the many public-use microdata samples available for individual and household data from many statistical agencies around the world, there are virtually no establishment or firm microdata available. In large part, this difficulty in providing access to business micro data is due to the skewed and sparse distributions that characterize business data. Synthetic data are simulated data generated from statistical models. We organized sessions at the 2015 World Statistical Congress and the 2015 Joint Statistical Meetings, highlighting work on synthetic \emph{establishment} microdata. This overview situates those papers, published in this issue, within the broader literature",,syntheticestablishmentmicrodataaroundtheworld,,True,56.0,True
200,83602631,,2008 Research Report: Center for Economic Studies and Research Data Centers,,,,,2008 Research Report: Center for Economic Studies and Research Data Centers,,,,,,,,,,,,"The contributions of individuals from within and outside the Census
Bureau were essential to producing this report. B.K. Atrostic wrote
Chapter 1; Matthew Graham wrote Chapter 2; John Haltiwanger,
Ron Jarmin, and Javier Miranda coauthored Chapter 3; Richard
Burkhauser and Jeff rey Larrimore of Cornell University coauthored
Chapter 4; Randy Becker and Cheryl Grim coauthored Chapter 5;
and Todd Gardner wrote Chapter 6. Thanks also are due to Lynn
Riggs who organized Appendix 1; and Angela Andrus, Cheryl
Grim, Brian Holly, Sang Nguyen, Shigui Weng, and Jeremy Wu
who contributed to or worked on Appendixes 1 through 7.
 Janet Sweeney and Jamie Stark of the Administrative and Customer
Services Division, Francis Grailand Hall, Chief, provided publications
and printing management, graphics design and composition, and
editorial review for print and electronic media. General direction and
production management were provided by Claudette E. Bennett,
Assistant Division Chief, and Wanda Cevis, Chief, Publications
Services Branch.
 Finally, our RDC partners and administrators provided assistance.The Center for Economic Studies partners with stakeholders within
and outside the U.S. Census Bureau to improve measures of the economy
and people of the United States through research and innovative
data products.This report has not undergone the review accorded Census Bureau
publications and no endorsement should be inferred. Any opinions
and conclusions expressed herein are those of the author(s) and do
not necessarily represent the views of the Census Bureau or other
organizations. All results have been reviewed to ensure that no confi -
dential information is disclosed",,2008researchreport:centerforeconomicstudiesandresearchdatacenters,,True,51.0,True
202,4754486,,"Sustainable metropolitan development: a look at planning and development in Atlanta, Georgia",,,,"Chandler, Sharon","Sustainable metropolitan development: a look at planning and development in Atlanta, Georgia",,,,,,,,,,,"Chandler, Sharon","This study analyzes the relationship between comprehensive planning and actual development (as measured by changes in welfare) for 158 jurisdictions in metropolitan Atlanta. Relying on ecological economics for a method to measure welfare and planning literature for a method to evaluate the content of comprehensive plans, this dissertation uses a combination of quantitative and qualitative methods.
 
Development is measured for four dimensions of sustainable development (economic, social, environment, and resource) using a modified Genuine Progress Indicator, and the metropolitan Atlanta area is found to have had weakly sustainable development from 1980 to 2000. In all places, economic welfare increased and resource welfare decreased. Social and environmental development had mixed results with about half of jurisdictions showing increases in environmental welfare while less than a handful showed increases in social welfare. 

Comprehensive plans were found to have a range of overall plan quality scores (the average of scores of policy statements in a plan) from 1.3 to 3.2 with a mean of 2.3 out of a maximum of 4. Of 2564 policy statements, 541 (or 21\%) were high quality statements scoring 4/4 points while 708 (or 28\%) received no quality points - they were weakly worded, vague, and not measurable. The average commitment to sustainable development (percent of policy statements in a plan that are related to a principle of sustainable development) is 39\% with a minumum of 9\% and a maximum of 80\%. Plan policy statements coded for principles of sustainable development were found to have significantly higher quality scores while overall plan quality scores were not found to be correlated to the plan commmitment to sustainable development; this implies that plans are generally either rigid (having highs scores) or visionary (having high commitment to sustainable development) overall.

Plan quality was found to have a significant negative relationship with sustainable development, when dimensions are considered. This relationship was stronger for plans completed within the study time period (before 2000), suggesting that this relationship may be causal. The negative result is unexpected and leads to a rejection of the hypothesis that high quality planning would be significantly and positively related to development.

On the other hand, plan commitment to sustainable development was found to be weakly positively related to sustainable development although the dimensions of this relationship changed over time. As such, the hypothesis that commitment to sustainable development would be significantly and positively related to development cannot be rejected.

These results hold even when looking at distinct growth patterns across the metropolitan region, suggesting that the relationships between plans and development may be applicable to other places.Ph.D",,sustainablemetropolitandevelopment:alookatplanninganddevelopmentinatlantageorgia,,True,51.0,True
204,195375548,,Has the NSF-Census Bureau Research Network Helped Improve the U.S. Statistical System?,,,,"Vilhuber, Lars",Has the NSF-Census Bureau Research Network Helped Improve the U.S. Statistical System?,,,,,,,,,,,"Vilhuber, Lars, Weinberg, Daniel H.","This presentation summarizes parts of http://hdl.handle.net/1813/52650.2, ""Effects of a Government-Academic Partnership: Has the NSF-Census Bureau Research Network Helped Improve the U.S. Statistical System?"", by Weinberg, Daniel; Abowd, John M.; Belli, Robert F.; Cressie, Noel; Folch, David C.; Holan, Scott H.; Levenstein, Margaret C.; Olson, Kristen M.; Reiter, Jerome P.; Shapiro, Matthew D.; Smyth, Jolene; Soh, Leen-Kiat; Spencer, Bruce; Spielman, Seth E.; Vilhuber, Lars; Wikle, ChristopherPresentation made by Lars Vilhuber, PI of the NSF-Census Research Network (NCRN) Coordinating Office on behalf of the network at the Joint Statistical Meetings (JSM) 2018 in a session presenting the award winners from 2017. https://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215028NSF-1129475 to Northwestern University; NSF-1130706 to Carnegie Mellon University; NSF-1131500 to University of Michigan-Ann Arbor; NSF-1131848 to Cornell University; NSF-1131897 to Duke University and National Institute of Statistical Sciences (NISS); NSF-1132008 to University of Colorado-Boulder; NSF-1132015 to University of Nebraska-Lincoln; NSF-1132031 to University of Missouri; and NSF-1507241 for the Coordinating Office (Cornell, Duke, and NISS)",,hasthensfcensusbureauresearchnetworkhelpedimprovetheusstatisticalsystem?,,True,46.0,True
205,558912475,,Does Access to Family Planning Increase Children’s Opportunities?,,,,"Bailey, Martha J",Does Access to Family Planning Increase Children’s Opportunities?,,,,,,,,,,10.3368/jhr.54.4.1216-8401r1,"Bailey, Martha J, Malkova, Olga, McLaren, Zoë M","This paper examines the relationship between parents' access to family planning and the economic resources of their children. Using the county-level introduction of U.S. family planning programs between 1964 and 1973, we find that children born after programs began had 2.8% higher household incomes. They were also 7% less likely to live in poverty and 12% less likely to live in households receiving public assistance. A bounding exercise suggests that the direct effects of family planning programs on parents' resources account for roughly two-thirds of these gains",103368jhr5441216-8401r1,doesaccesstofamilyplanningincreasechildren’sopportunities?,,True,62.0,True
207,617197497,,The Centrality of Data and Compute for AI Innovation: A Blueprint for the National Research Cloud,,,,"Ho, Daniel E.",The Centrality of Data and Compute for AI Innovation: A Blueprint for the National Research Cloud,,,,,,,,,,,"Ho, Daniel E., King, Jennifer, Wald, Russell C., Wan, Christopher","From the introduction: Artificial intelligence (AI) appears poised to transform the economy across sectors ranging from healthcare and finance to retail and education. What some have coined the “Fourth Industrial Revolution” is driven by three key trends: greater availability of data, increases in computing power, and improvements to algorithm design. First, increasingly large amounts of data have fueled the ability for computers to learn, such as by training an algorithmic language model on all of Wikipedia. Second, better computational capacity (often termed “compute”) and compute capability have enabled researchers to build models that were unimaginable merely ten years ago, spanning billions of parameters (an exponential increase in scope from previous models). Third, basic innovations in algorithms are helping scientists to drive forward AI, such as the reinforcement learning techniques that enabled a computer to defeat the world champion in the board game Go",,thecentralityofdataandcomputeforaiinnovation:ablueprintforthenationalresearchcloud,,True,54.0,True
210,93344874,,Research Funding and Regional Economies,,,,"Goldschlag, Nathan",Research Funding and Regional Economies,,,,,,,,,,10.2139/ssrn.2817445,"Goldschlag, Nathan, Bianchini, Stefano, Lane, Julia, SanMartin Sola, Joseba, Weinberg, Bruce A.","Public support of research typically relies on the notion that universities are engines of economic development, and that university research is a primary driver of high wage localized economic activity. Yet the evidence supporting that notion is based on aggregate descriptive data, rather than detailed links at the level of individual transactions. Here we use new micro-data from three countries - France, Spain and the United States - to examine one mechanism whereby such economic activity is generated, namely purchases from regional businesses. We show that grant funds are more likely to be expended at businesses physically closer to universities than at those farther away. In addition, if a vendor has been a supplier to a grant once, that vendor is subsequently more likely to be a vendor on the same or related grants. Firms behave in a way that is consistent with the notion that propinquity is good for business; if a firm supplies a research grant at a university in a given year it is more likely to open an establishment near that university in subsequent years than other firms",102139ssrn2817445,researchfundingandregionaleconomies,,True,57.0,True
212,492396814,,Estimating Determinants of Transportation and Warehousing Establishment Locations Using U.S. Administrative Data,,,,Craig Carpenter,Estimating Determinants of Transportation and Warehousing Establishment Locations Using U.S. Administrative Data,,,,,,,,,,,"Craig Carpenter, Rebekka Dudensing, Anders Van Sandt","Interactions between transportation and warehousing and other industry clusters are not widely explored and the determinants of logistics locational determinants is limited in the U.S. context. These gaps in the literature, along with the U.S. transportation and warehousing sector's decentralization from urban areas and concentration in regions, highlight the importance of understanding the effects of place-based factors and inter-industry clusters on the locations and employment of transportation and warehousing industries. The analysis uses restricted-access U.S. Census Bureau data aggregated to the county level, along with secondary data sources, to estimate the locational determinants of transportation and warehousing (TW) industries based on transportation infrastructure as well as sociodemographic and institutional variables. The analysis takes a cross-sectional (non-causal) approach to focus on time-invariant location factors while testing and implementing zero-inflated count data distributions to model the data generation processes more accurately. Results indicate that subsectors are affected differently by infrastructure, sociodemographic, and institutional variables. Additionally, different factors are associated with industry presence versus size. Finally, we show that data using aggregated industries obscures locational factors' importance for individual sub-sectors and, further, that industrial aggregation obscures TW sectors' relationships to other clusters",,estimatingdeterminantsoftransportationandwarehousingestablishmentlocationsusingusadministrativedata,,True,78.0,True
213,621742991,,"Part 3: If You Zone It, They Will Come: Housing Supply in Hampton Roads",,,,"Dragas Center for Economic Analysis and Policy, Old Dominion University","Part 3: If You Zone It, They Will Come: Housing Supply in Hampton Roads",,,,,,,,,,10.25776/ryty-bc04,"Dragas Center for Economic Analysis and Policy, Old Dominion University","The recent rise in housing prices in Hampton Roads has priced many families out of the American dream of owning a home. Even though fewer houses sold in 2023, median single-family prices continued to rise. In this chapter, we discuss how policies and regulations may influence decisions to build and ask what can be done to increase the supply of housing in Hampton Roads",1025776ryty-bc04,part3:ifyouzoneittheywillcome:housingsupplyinhamptonroads,,True,48.0,True
214,639366211,,2024 State of the Commonwealth Report,,,,"Agarwal, Vinod",2024 State of the Commonwealth Report,,,,,,,,,,10.25776/aprq-ba29,"Agarwal, Vinod, Koch, James V., Lian, Feng, Makhorkina, Anna, Nguyen, Melody, Parker, Terry, Rahoui, Mohamed, Walker, Jay, Yuenyong, Leiu","This is Old Dominion University’s 10th annual State of the Commonwealth Report. While it represents the work of many people connected in various ways to the university, the report does not constitute an official viewpoint of Old Dominion, its president, Brian Hemphill, Ph.D., the Board of Visitors, the Strome College of Business or the generous donors who support the activities of the Dragas Center for Economic Analysis and Policy.
Our work seeks to contribute to the conversation about how Virginia can foster growth across the Commonwealth without glossing over the challenges we face. We want to encourage difficult conversations to improve economic outcomes for all of Virginia’s residents. There is plenty of good news to share, and now is the time to have the hard discussions about where Virginia goes over the next decade",1025776aprq-ba29,2024stateofthecommonwealthreport,,True,45.0,True
216,71363784,,2006 Report on Illinois Poverty,,,,,2006 Report on Illinois Poverty,,,,,,,,,,,,"This is the sixth annual publication of the Report on Illinois Poverty. Since the release of the first report six years ago, 342,716 more Illinoisans are in poverty, rising from 10% in 1999 to 12.4% in 2004. Through the tragedy of Hurricane Katrina, the eyes of the nation were opened to the devastating effects of poverty, and people were shocked that such detrimental poverty is a daily reality for millions of Americans, including over 1.5 million Illinoisans. Hopefully, the vivid portrayal of the social disaster of poverty will harness energy for a renewed anti-poverty effort in individual states and in the nation as a whole",,2006reportonillinoispoverty,,True,46.0,True
217,6586809,,Integrating Industry and National Economic Accounts: First Steps and Future Improvements,,,,Ann M. Lawson,Integrating Industry and National Economic Accounts: First Steps and Future Improvements,,,,,,,,,,,"Ann M. Lawson, Brian C. Moyer, Sumiye Okubo, Mark A. Planting","The integration of the annual I-O accounts with the GDP-by-industry accounts is the most recent in a series of improvements to the industry accounts provided by the BEA in recent years. BEA prepares two sets of national industry accounts: The I-O accounts, which consist of the benchmark I-O accounts and the annual I-O accounts, and the GDPby- industry accounts. Both the I-O accounts and the GDP-by-industry accounts present measures of gross output, intermediate inputs, and value added by industry. However, in the past, they were inconsistent because of the use of different methodologies, classification frameworks, and source data. The integration of these accounts eliminated these inconsistencies and improved the accuracy of both sets of accounts. The integration of the annual industry accounts represents a major advance in the timeliness, accuracy, and consistency of these accounts, and is a result of significant improvements in BEA's estimating methods. The paper describes the new methodology, and the future steps required to integrate the industry accounts with the NIPAs. The new methodology combines source data between the two industry accounts to improve accuracy; it prepares the newly integrated accounts within an I-O framework that balances and reconciles industry production with commodity usage. Moreover, the new methodology allows the acceleration of the release of the annual I-O accounts by 2 years and for the first time, provides a consistent time series of annual I-O accounts. Three appendices are provided: A description of the probability-based method to rank source data by quality; a description of the new balancing produced for producing the annual I-O accounts; and a description of the computation method used to estimate chaintype price and quantity indexes in the GDP-by-industry accounts.",,integratingindustryandnationaleconomicaccounts:firststepsandfutureimprovements,,True,53.0,True
219,8401858,,A method for managing re-identification risk from small geographic areas in Canada,,,,"El Emam, Khaled",A method for managing re-identification risk from small geographic areas in Canada,,,,,,,,,,10.1186/1472-6947-10-18,"El Emam, Khaled, Brown, Ann, AbdelMalik, Philip, Neisa, Angelica, Walker, Mark, Bottomley, Jim, Roffey, Tyson","BACKGROUND: A common disclosure control practice for health datasets is to identify small geographic areas and either suppress records from these small areas or aggregate them into larger ones. A recent study provided a method for deciding when an area is too small based on the uniqueness criterion. The uniqueness criterion stipulates that an the area is no longer too small when the proportion of unique individuals on the relevant variables (the quasi-identifiers) approaches zero. However, using a uniqueness value of zero is quite a stringent threshold, and is only suitable when the risks from data disclosure are quite high. Other uniqueness thresholds that have been proposed for health data are 5% and 20%. METHODS: We estimated uniqueness for urban Forward Sortation Areas (FSAs) by using the 2001 long form Canadian census data representing 20% of the population. We then constructed two logistic regression models to predict when the uniqueness is greater than the 5% and 20% thresholds, and validated their predictive accuracy using 10-fold cross-validation. Predictor variables included the population size of the FSA and the maximum number of possible values on the quasi-identifiers (the number of equivalence classes). RESULTS: All model parameters were significant and the models had very high prediction accuracy, with specificity above 0.9, and sensitivity at 0.87 and 0.74 for the 5% and 20% threshold models respectively. The application of the models was illustrated with an analysis of the Ontario newborn registry and an emergency department dataset. At the higher thresholds considerably fewer records compared to the 0% threshold would be considered to be in small areas and therefore undergo disclosure control actions. We have also included concrete guidance for data custodians in deciding which one of the three uniqueness thresholds to use (0%, 5%, 20%), depending on the mitigating controls that the data recipients have in place, the potential invasion of privacy if the data is disclosed, and the motives and capacity of the data recipient to re-identify the data. CONCLUSION: The models we developed can be used to manage the re-identification risk from small geographic areas. Being able to choose among three possible thresholds, a data custodian can adjust the definition of ""small geographic area"" to the nature of the data and recipient",1011861472-6947-10-18,amethodformanagingreidentificationriskfromsmallgeographicareasincanada,,True,58.0,True
220,16393427,,Job Creation in the Manufacturing Revival,,,,"Levinson, Marc",Job Creation in the Manufacturing Revival,,,,,,,,,,,"Levinson, Marc","[Excerpt] After a prolonged slump, the U.S. manufacturing sector is showing notable signs of revival. In part, the upturn in manufacturing output is cyclical, as global economic growth recovers following the downturn in 2008-2009. At the same time, however, there are indications that other forces may be contributing to the revival of U.S. manufacturing. Higher labor costs in the emerging economies of Asia, higher international freight transportation costs, and heightened concern about the risk of disruptions to long, complex supply chains all increase the relative attractiveness of the United States as a location for factory production.
In public discourse, the revival of manufacturing is often associated with a variety of policy objectives, particularly with respect to employment. Most notably, proponents of support for the manufacturing sector often associate increased manufacturing activity with the creation of jobs for workers without higher education. Evidence suggests, however, that even strong growth in manufacturing output could well have only modest impact on job creation, and is unlikely to reverse the declining demand for workers with low levels of education",,jobcreationinthemanufacturingrevival,,True,62.0,True
222,593674512,,Construction Capacity: How Regional Construction Supply Chains Respond to Disruptions,,,,"Arneson, Erin",Construction Capacity: How Regional Construction Supply Chains Respond to Disruptions,,,,,,,,,,,"Arneson, Erin","The U.S. construction industry continues to recover from the global economic recession of 2007-2009 but is but is hampered by regional craft labor shortages and unsteady building material manufacturing output. The availability and efficient use of construction supply chain labor and material resources is critical at the regional level, since smaller geographic scales are more susceptible to labor shortages and inadequate material supply. A lack of regional labor and material availability – the regional construction capacity – often results in project schedule delays and inflated material prices. This dissertation introduces the concept of construction capacity, defined for the first time here as the maximum building volume a construction industry can supply due to regional supply chain availability of labor and materials. To explore how regional supply chain labor and material availability affect construction industry supply and demand mechanisms, this research quantitatively analyzed construction capacity across 179 regions covering the entire U.S. The overarching dissertation research questions asks: How does regional construction capacity affect the construction industry’s ability to respond to unanticipated disruptions of supply and demand? The methods elaborated in this research contribute to the body of knowledge by: (1) introduces a novel quantitative method for identifying and measuring regional construction capacity, based on unit labor costs and capacity utilization metrics, (2) analyzes how regional construction industry market conditions and socio-economic conditions determine regional construction capacity, and (3) introduces a novel quantitative model to predict regional post-disaster residential housing reconstruction, based on regional pre-disaster construction capacity. The main theoretical contribution of this work fills the gap in existing literature regarding quantitative, industry-level, and regional construction supply chain performance. This research also adds to the literature regarding the economic performance of regional construction industries, building upon concepts from supply chain theory, economic geography theory, and the economic theory of market-driven resource supply",,constructioncapacity:howregionalconstructionsupplychainsrespondtodisruptions,,True,49.0,True
227,55647012,,"Cross–Sectoral Variation in Firm–Level
Idiosyncratic Risk",,,,"Castro, Rui","Cross–Sectoral Variation in Firm–Level
Idiosyncratic Risk",,,,,,,,,,,"Castro, Rui, Clementi, Gian Luca, Lee, Yoonsoo","We estimate firm–level idiosyncratic risk in the U.S. manufacturing sector. Our proxy for risk is the volatility of the portion of growth in sales or TFP which is not explained by either industry– or economy–wide factors, or firm characteristics
systematically associated with growth itself. We find that idiosyncratic risk
accounts for about 90% of the overall uncertainty faced by firms. The extent of
cross–sectoral variation in idiosyncratic risk is remarkable. Firms in the most
volatile sector are subject to at least three times as much uncertainty as firms
in the least volatile. Our evidence indicates that idiosyncratic risk is higher in industries where the extent of creative destruction is likely to be greater",,cross–sectoralvariationinfirm–levelidiosyncraticrisk,,True,55.0,True
233,71350712,,"Demography Is Not Destiny, Revisited",,,,Laura Summer,"Demography Is Not Destiny, Revisited",,,,,,,,,,,"Laura Summer, Robert B. Friedland","Looks at the impending demographic challenges of the aging American population. Considers the impact of factors in addition to anticipated changes in the size and age distribution, particularly those related to the economy and public policies",,demographyisnotdestinyrevisited,,True,62.0,True
234,6642889,,Data in Context: Notes on Employment and Labor Force Data,,,,"Imerman, Mark D.",Data in Context: Notes on Employment and Labor Force Data,,,,,,,,,,,"Imerman, Mark D.","This paper provides a brief review of readily available labor force and employment data for the United States and local areas. Labor force and employment terminology, geographic parameters, and strengths and weaknesses of available data sets are discussed.employment; labor force; demographics",,dataincontext:notesonemploymentandlaborforcedata,,True,57.0,True
235,6786316,,Health Care Expenditures in the National Health Expenditures Accounts and in Gross Domestic Product: A Reconciliation,,,,Micah Hartman,Health Care Expenditures in the National Health Expenditures Accounts and in Gross Domestic Product: A Reconciliation,,,,,,,,,,,"Micah Hartman, Robert Kornfeld, Aaron Catlin","This paper provides a most detailed reconciliation to date of the National Health Expenditure Accounts (NHEA), the official estimates of health care spending in the United States from the Centers for Medicare and Medicaid Services (CMS), and the estimates of health expenditures that are part of gross domestic product (GDP) produced by the Bureau of Economic Analysis (BEA) as part of the national income and product accounts (NIPAs). For the period from 1997-2008, the estimates of total national health spending in the NHEA and in the GDP data are relatively similar, differing by less than 2 percent annually. Well over 90 percent of the total estimated expenditures in the two accounts appear to consist of the same expenditures. The differences in the estimates of expenditures for specific categories of health care – physician services, hospitals, drugs, health insurance, investment in equipment, and government programs – are, however, proportionately larger. The differences in the estimates of spending for specific categories of health care partly reflect differences in the way CMS and BEA classify certain healthrelated expenditures that are included in both accounts. The differences in the two estimates of health care spending also reflect some differences in the composition of health care spending in the two accounts, the use of some different estimation methods, and the use of some different data sources.",,healthcareexpendituresinthenationalhealthexpendituresaccountsandingrossdomesticproduct:areconciliation,,True,50.0,True
236,127600029,,Advancing Health Equity and Inclusive Growth in Buffalo,,,,PolicyLink,Advancing Health Equity and Inclusive Growth in Buffalo,,,,,,,,,,,"PolicyLink, PERE","With millions in public and private investments in the Buffalo Niagara Medical Campus and Governor Cuomo’s historic “Buffalo Billion” investment in economic development, the city of Buffalo, New York, is poised for resurgence. As is true in cities and regions across the country, communities of color are growing and buffering overall population loss. But if new investments do not address persistent racial and economic inequities, the city’s long-term economic future is at risk. The Buffalo region’s economy could have been over $4 billion stronger in 2014 alone if racial gaps in income were eliminated. Inclusive growth is the path to sustainable economic prosperity and health equity. To build a Buffalo economy that works for all, city and regional leaders must commit to putting all residents on the path to economic security through protections and policies that enable existing residents to remain in the city, connect to jobs and opportunities, and benefit from new development",,advancinghealthequityandinclusivegrowthinbuffalo,,True,55.0,True
237,71349160,,2010 State New Economy Index,,,,,2010 State New Economy Index,,,,,,,,,,,,"Measures states' economic structures on twenty-six indicators of their competitiveness in the New Economy: the prominence of knowledge jobs, globalization, economic dynamism, transformation to a digital economy, and technological innovation capacity",,2010stateneweconomyindex,,True,46.0,True
238,71936681,,Tampa Bay economy 06/01 (Summer 2006),,,,University of South Florida. Center for Economic Development Research,Tampa Bay economy 06/01 (Summer 2006),,,,,,,,,,,University of South Florida. Center for Economic Development Research,Update on CEDR\u27s Data Center -- From the Editor -- Inflation in Tampa Bay -- USF\u27s Basic Economic Development Course -- Middle Market Firms -- Investment Capital in Florida,,tampabayeconomy06/01(summer2006),,True,42.0,True
239,71340602,,The Reagan Question: Are You Better Off Now Than You Were Eight Years Ago?,,,,Hye Jin Rho,The Reagan Question: Are You Better Off Now Than You Were Eight Years Ago?,,,,,,,,,,,"Hye Jin Rho, John Schmitt","This paper updates Ronald Reagan's famous question during the 1980 presidential election: ""Are you better off now than you were four years ago?"" by comparing the state of the economy in 2000 and 2008. We use 25 indicators of economic well-being and economic performance and find that 23 of the 25 indicators are worse in 2008 than they were in 2000. Even after we limit comparisons to similar points across the business cycle, the same 23 indicators were worse at the most recent business-cycle peak (2007) than they were in 2000",,thereaganquestion:areyoubetteroffnowthanyouwereeightyearsago?,,True,47.0,True
242,6486738,,The Environment for Microdata Access in Japan: A Comparison with the United States and Britain and Future Issues,,,,Akira Kawai,The Environment for Microdata Access in Japan: A Comparison with the United States and Britain and Future Issues,,,,,,,,,,,"Akira Kawai, Shigeru Hirota, Tomohiko Inui","For most of the post]war period, Japan's administration of statistics was governed by the framework provided by the Statistics Act from 1947. However, because the Act remained largely unchanged since it was originally introduced, it increasingly failed to reflect important changes in economic and social circumstances over time, resulting in various problems, including with regard to the secondary use of various kinds of microdata. To help resolve these problems, the New Statistics Act was enacted in 2007 and came fully into force in April 2009. Among other things, the New Statistics Act provides for a substantial revision of the system of secondary data use. An important element of this is a change in the basic philosophy underlying the legal framework from ""statistics for the purpose of administration"" to ""statistics as an information resource for society."" A central aim is ensuring the gusefulnessh of public statistics, and regulations concerning the use of statistics, such as provisions for secondary use, were incorporated in the Act. One important change is that the system of approval by the Minister of Internal Affairs and Communications for secondary data use was abolished. Instead, secondary data use can now be directly approved by the survey implementer and procedures have been simplified, so in the new system secondary data use now is considerably easier. Moreover, the New Statistics Act now allows for the provision of anonymized data and for custom tabulations for the purpose of academic research and higher education.",,theenvironmentformicrodataaccessinjapan:acomparisonwiththeunitedstatesandbritainandfutureissues,,True,48.0,True
243,71363793,,2007 Report on Illinois Poverty,,,,,2007 Report on Illinois Poverty,,,,,,,,,,,,"This seventh annual Report on Illinois Poverty illustrates that there are many indications Illinois families are experiencing significant hardship. Over one third of Illinoisans in poverty are children, disparities in income and wealth are widening, young adults face significant obstacles to economic success, and hundreds of thousands of Illinoisans live in extreme poverty, with incomes below half the poverty line",,2007reportonillinoispoverty,,True,46.0,True
246,12017020,,Modeling the evolution of age-dependent Gini coefficient for personal incomes in the U.S. between 1967 and 2005,,,,"Kitov, Ivan",Modeling the evolution of age-dependent Gini coefficient for personal incomes in the U.S. between 1967 and 2005,,,,,,,,,,10.2139/ssrn.1231882,"Kitov, Ivan","This study validates the microeconomic model defining the evolution of personal incomes in the U.S. Because of a large portion of population not reporting any income, any comprehensive modeling of the overall personal income distribution (PID) is complicated. Age-dependent PIDs allow overcoming this shortcoming since the portion of population without income is very low (<4 %) for ages over 45 years. It is demonstrated that the evolution of Gini coefficient, for the years with a good PID resolution, can be accurately (<0.005) predicted.  
As the overall PIDs, the empirical age-dependent (density) PIDs collapse to practically one curve when normalized to cumulative growth in personal income and total population in given age groups for the period between 1967 and 2005. This allows exact prediction of Gini coefficient and other measures of inequality, which are defined by PID. Therefore, these measures of income inequality are only of secondary importance
In all age groups, the model predicts slightly decreasing Gini coefficients between 1977 and 2005. The overall G is approximately constant, however. The Pareto law index, k, undergoes significant changes over age: increases from the youngest age to approximately 67 years of age, and then drops. This index defines the roll-off at the highest incomes",102139ssrn1231882,modelingtheevolutionofagedependentginicoefficientforpersonalincomesintheusbetween1967and2005,,True,51.0,True
247,75785682,,The Kauffman Index: Startup Activity - Metropolitan Area and City Trends 2015,,,,Arnobio Morelix,The Kauffman Index: Startup Activity - Metropolitan Area and City Trends 2015,,,,,,,,,,,"Arnobio Morelix, E. J. Reedy, Joshua Russell, Robert W. Fairlie","How can I actually measure the entrepreneurial activity in my region? This is a question we at the Kauffman Foundation often hear from economic and policy leaders. As cities around the globe rally to foster entrepreneurship, the challenge of how to consistently measure and benchmark progress remains largely unanswered. While anecdotal evidence abounds, most ecosystems struggle to answer straightforward, yet often elusive, questions: How many new startups does our city or state have? How much are our ventures growing? How many of our businesses are surviving? To begin to answer these questions and address this challenge, we introduce the new Kauffman Index of Entrepreneurship, the first and largest index tracking entrepreneurship across city, state, and national levels for the United States. In this release, we introduce the Kauffman Index: Startup Activity—the first of various research installments under the umbrella of the new Kauffman Index of Entrepreneurship.For the past ten years, the original Kauffman Index— authored by Robert W. Fairlie—has been an early indicator for entrepreneurship in the United States, used by entrepreneurs and policymakers, from the federal to state and local levels. The Kauffman Index also has been one of the most requested and far-reaching entrepreneurship indicators in the United States and, arguably, the world. In the policy world, the Index has been referenced in multiple testimonies to the U.S. Senate and House of Representatives, by U.S. Embassies and Consulates across various countries—including nations like Spain, Ukraine, and United Kingdom—by multiple federal agencies, by state governments and governors from fifteen states— from Arizona to New York—and by the White House's office of the President of the United States. On the academic side, more than 200 research papers quote the Kauffman Index. In media circles, the Kauffman Index has been highlighted in more than 100 media channels, including most major publications like The New York Times, The Wall Street Journal, TIME, CNN, the Financial Times, and Harvard Business Review. Originally, the Kauffman Index tracked one of the earliest measures of business creation: When and how many people first start working for themselves, becoming entrepreneurs. Now, we are expanding it to include other dimensions of entrepreneurship. The new and expanded Kauffman Index of Entrepreneurship 2015 remains focused primarily on entrepreneurial outcomes, as opposed to inputs. That means we are more concerned with actual results of entrepreneurial activity—things like new companies and growth rates.The Kauffman Index: Startup Activity algorithm presented in this report takes into account three variables:* Rate of New Entrepreneurs* Opportunity Share of New Entrepreneurs* Startup Densit",,thekauffmanindex:startupactivitymetropolitanareaandcitytrends2015,,True,47.0,True
248,75783626,,The Kauffman Index: Main Street Entrepreneurship National Trends,,,,,The Kauffman Index: Main Street Entrepreneurship National Trends,,,,,,,,,,,,"This report provides a broad index measure of small local business activity in the United States. It presents an equally weighted index of two normalized measures of small and local business activity:The Rate of Business Owners in the economy, calculated as the percentage of adults who own a business on average, per year.The Established Small Business Density of a region, measured as the number of established (older than five years) small employer businesses (with less than fifty employees) normalized by population",,thekauffmanindex:mainstreetentrepreneurshipnationaltrends,,True,57.0,True
