"Title","Abstract","DOI","No. Researchers","Researchers","Year","RDC","Dataset Mentions","Keywords"
"Pleiotropic Insulin Signals are Engaged by Multisite Phosphorylation of IRS-1","IRS-1 (insulin receptor substrate 1) is a principal insulin receptor substrate that undergoes tyrosine phosphorylation during insulin stimulation. It contains over 20 potential tyrosine phosphorylation sites, and we suspect that multiple insulin signals are enabled when the activated insulin receptor kinase phosphorylates several of them. Tyrosine-phosphorylated IRS-1 binds specifically to various cellular proteins containing Src homology 2 (SH2) domains (SH2 proteins). We identified some of the tyrosine residues of IRS-1 that undergo insulin-stimulated phosphorylation by the purified insulin receptor and in intact cells during insulin stimulation. Automated sequencing and manual radiosequencing revealed the phosphorylation of tyrosine residues 460, 608, 628, 895, 939, 987, 1172, and 1222; additional sites remain to be identified. Immobilized SH2 domains from the 85-kDa regulatory subunit (p85 alpha) of the phosphatidylinositol 3'-kinase bind preferentially to tryptic phosphopeptides containing Tyr(P)-608 and Tyr(P)-939. By contrast, the SH2 domain in GRB2 and the amino-terminal SH2 domain in SHPTP2 (Syp) specifically bind to Tyr(P)-895 and Tyr(P)-1172, respectively. These results confirm the p85 alpha recognizes YMXM motifs and suggest that GRB2 prefers a phosphorylated YVNI motif, whereas SHPTP2 (Syp) binds to a phosphorylated YIDL motif. These results extend the notion that IRS-1 is a multisite docking protein that engages various downstream regulatory elements during insulin signal transmission.","10.1128/mcb.13.12.7418-7428.1993","5.0","Xiao‐Jian Sun; Dan L. Crimmins; Martin G. Myers; Montserrat Miralpeix; Morris F. White","1993.0","","","pleiotropic; insulin; signals; multisite; phosphorylation; irs"
"IRS‐1 Regulation in Health and Disease","Abstract The global incidence of diabetes is increasing at epidemic rates. Estimates suggest there are currently 150 million people with diabetes and this number is expected to double in the next 20 years. Type 2 diabetes accounts for 95% of all cases and is characterized in part by impaired sensitivity to insulin or 'insulin resistance'. Defects in the insulin signalling pathways underpin this resistance. In the current article we discuss the regulation of Insulin Receptor Substrate‐1 (IRS‐1), a protein that plays a pivotal role in insulin signalling and whose function is impaired in subjects with insulin resistance. Coordination of IRS‐1 function is multi‐faceted, involving phosphorylation of IRS‐1 at multiple serine/threonine residues. This controls many aspects of IRS‐1, including its interaction with the insulin receptor and subsequent tyrosine phosphorylation, as well as its subcellular distribution and targeting for degradation by the proteasome. Such tight control ensures appropriate transduction and attenuation of the insulin signal, thereby regulating insulin action in healthy individuals. Emerging evidence indicates that 'diabetogenic factors' associated with insulin resistance, such as TNF αand elevated circulating fatty acids, impact on insulin signalling at the level of IRS‐1 serine/threonine phosphorylation. The expression and/or activity of several kinases, such as I κB kinase β(IKK β) and salt‐induced kinase 2 (SIK2), and the phosphorylation of IRS‐1 at key sites, such as Ser307 and Ser789, are increased in states of insulin resistance. Identifying the pathways by which such factors activate these and other kinases, and defining the precise roles of specific serine/threonine phosphorylation events in IRS‐1 regulation, represent important goals which may eventually provide a rationale for therapeutic intervention. IUBMB Life, 55: 367‐374, 2003","10.1080/1521654031000138569","2.0","Carsten Schmitz‐Peiffer; Jonathan P. Whitehead","2003.0","","","irs; regulation; health; disease"
"A Range Finder for Pelagic Bird Censusing","","10.2307/3807930","1.0","Dennis Heinemann","1981.0","","","range; finder; pelagic; bird; censusing"
"A model of fuzzy linguistic IRS based on multi-granular linguistic information","","10.1016/j.ijar.2003.07.009","5.0","Enrique Herrera‐Viedma; Óscar Cordón; María Luque; A.G. López‐Herrera; Ana María Muñoz Muñoz","2003.0","","","irs; multi; information"
"Using the Census Bureau’s surname list to improve estimates of race/ethnicity and associated disparities","","10.1007/s10742-009-0047-1","6.0","Marc N. Elliott; Peter A. Morrison; Allen Fremont; Daniel F. McCaffrey; Philip Pantoja; Nicole Lurie","2009.0","","","census; bureau; list; estimates; race; ethnicity; disparities"
"Censusing and Measuring Lianas: A Quantitative Comparison of the Common Methods<sup>1</sup>","ABSTRACT Lianas contribute to many aspects of tropical forest diversity and dynamics, and interest in liana ecology has grown substantially in recent years. Methods to census lianas and estimate biomass, however, differ among studies, possibly hindering attempts to compare liana communities. At Nouragues Research Station (French Guiana), we tested the extent to which liana abundance, basal area, and estimated biomass differed depending on stem diameter measurement location, inclusion of ramets, inclusion of lianas rooted within versus passing through the plot, and plot shape. We found that the mean per plot abundance and basal area of lianas were significantly greater when lianas were measured low on the stem, when ramets were included, and when lianas were sampled in transects (2 × 50 m) than in square plots (10 × 10 m). Mean per plot liana abundance and basal area were 21 percent and 58 percent greater, when stems were measured at the largest spot on the stem compared to 130 cm from the ground, respectively. Including liana ramets increased average per plot liana abundance, basal area, and estimated biomass by 19, 17, and 16 percent, respectively. To facilitate cross‐study comparisons, we developed conversion equations that equate liana abundance, diameter, and basal area based on the measurements taken at four different stem locations. We tested these equations at Lambir Hills National Park, Malaysia and found that they did not differ significantly between the two sites, suggesting that the equations may be broadly applicable. Finally, we present a new allometric equation relating diameter and biomass developed from 424 lianas from five independent data sets collected in four countries.","10.1111/j.1744-7429.2006.00187.x","3.0","Stefan A. Schnitzer; Saara J. DeWalt; Jérôme Chave","2006.0","","","measuring; lianas; a; quantitative; common; methods; sup"
"The Spectral Energy Distribution of HH 30 IRS: Constraining the Circumstellar Dust Size Distribution","We present spectral energy distribution (SED) models for the edge-on classical T Tauri star HH 30 IRS that indicate that dust grains have grown to larger than 50 μm within its circumstellar disk. The disk geometry and inclination are known from previous modeling of multiwavelength Hubble Space Telescope images, and we use the SED (0.5 μm ≤ λ ≤ 3 mm) to constrain the dust size distribution. Model spectra are shown for different circumstellar dust models: a standard interstellar medium (ISM) mixture and larger grain models. As compared to ISM grains, the larger dust grain models have a shallower wavelength-dependent opacity: smaller at short wavelengths and larger at long wavelengths. Models with the larger dust grains provide a good match to the observed SED of HH 30 IRS. Although the currently available SED is poorly sampled, we estimate L* ≈ 0.2 L☉, Mdisk ≈ 1.5 × 10-3 M☉, and a power law with exponential cutoff dust grain size distribution. This model provides a good fit to the currently available data, but mid- and far-IR observations are required to more tightly constrain the size distribution. The accretion luminosity in our models is Lacc ≲ 0.2L*, corresponding to an accretion rate ≲ 4 × 10-9 M☉ yr-1. Dust size distributions that are simple power-law extensions (i.e., no exponential cutoff) yield acceptable fits to the optical/near-IR but too much emission at millimeter wavelengths, and require larger disk masses up to Mdisk ~ 0.5 M☉. Such a simple size distribution would not be expected in an environment such as the disk of HH 30 IRS (i.e., where coagulation and accretion processes are occurring in addition to grain shattering), particularly over such a large range in grain sizes. Its ability to adequately characterize the grain populations, however, may be determined from more complete observational sampling of the SED in the mid- to far-IR.","10.1086/324285","4.0","Kenneth Wood; M. J. Wolff; K. S. Bjorkman; B. A. Whitney","2002.0","","","spectral; energy; distribution; hh; irs; circumstellar; dust; size"
"A puzzle concerning triads in social networks: Graph constraints and the triad census","","10.1016/j.socnet.2010.03.004","1.0","Katherine Faust","2010.0","","","puzzle; triads; networks; graph; constraints; triad; census"
"High Resolution Population Maps for Low Income Nations: Combining Land Cover and Census in East Africa","Between 2005 and 2050, the human population is forecast to grow by 2.7 billion, with the vast majority of this growth occurring in low income countries. This growth is likely to have significant social, economic and environmental impacts, and make the achievement of international development goals more difficult. The measurement, monitoring and potential mitigation of these impacts require high resolution, contemporary data on human population distributions. In low income countries, however, where the changes will be concentrated, the least information on the distribution of population exists. In this paper we investigate whether satellite imagery in combination with land cover information and census data can be used to create inexpensive, high resolution and easily-updatable settlement and population distribution maps over large areas.We examine various approaches for the production of maps of the East African region (Kenya, Uganda, Burundi, Rwanda and Tanzania) and where fine resolution census data exists, test the accuracies of map production approaches and existing population distribution products. The results show that combining high resolution census, settlement and land cover information is important in producing accurate population distribution maps.We find that this semi-automated population distribution mapping at unprecedented spatial resolution produces more accurate results than existing products and can be undertaken for as little as $0.01 per km(2). The resulting population maps are a product of the Malaria Atlas Project (MAP: http://www.map.ox.ac.uk) and are freely available.","10.1371/journal.pone.0001298","5.0","Andrew J. Tatem; Abdisalan M. Noor; Craig von Hagen; Antonio Di Gregorio; Simon I Hay","2007.0","","","resolution; population; maps; low; income; nations; combining; land; cover; census; east; africa"
"A Checklist and Census Catalogue of British and Irish Bryophytes","","10.2307/3244271","3.0","Barbara M. Thiers; T. L. Blockeel; D. G. Long","1999.0","","","checklist; census; catalogue; british; irish; bryophytes"
"The Herschel census of infrared SEDs through cosmic time★","Using Herschel data from the deepest SPIRE and PACS surveys (HerMES and PEP) in COSMOS and GOODS (N+S), we examine the dust properties of IR-luminous (L_IR>10^10 L_sun) galaxies at 0.1<z<2 and determine how these evolve with cosmic time. The unique angle of this work is the rigorous analysis of survey selection effects, making this the first study of the star-formation-dominated, IR-luminous population within a framework almost entirely free of selection biases. We find that IR-luminous galaxies have SEDs with broad far-IR peaks characterised by cool/extended dust emission and average dust temperatures in the 25-45K range. Hot (T>45K) SEDs and cold (T<25K), cirrus-dominated SEDs are rare, with most sources being within the range occupied by warm starbursts such as M82 and cool spirals such as M51. We observe a luminosity-temperature (L-T) relation, where the average dust temperature of log[L_IR/L_sun]=12.5 galaxies is about 10K higher than that of their log[L_IR/L_sun]=10.5 counterparts. However, although the increased dust heating in more luminous systems is the driving factor behind the L-T relation, the increase in dust mass and/or starburst size with luminosity plays a dominant role in shaping it. Our results show that the dust conditions in IR-luminous sources evolve with cosmic time: at high redshift, dust temperatures are on average up to 10K lower than what is measured locally. This is manifested as a flattening of the L-T relation, suggesting that (U)LIRGs in the early Universe are typically characterised by a more extended dust distribution and/or higher dust masses than local equivalent sources. Interestingly, the evolution in dust temperature is luminosity dependent, with the fraction of LIRGs with T<35K showing a 2-fold increase from z~0 to z~2, whereas that of ULIRGs with T<35K shows a 6-fold increase.","10.1093/mnras/stt330","60.0","M. Symeonidis; M. Vaccari; S. Berta; K. L. Page; D. Lutz; V. Arumugam; H. Aussel; J. Bock; A. Boselli; V. Buat; P. Capak; D. L. Clements; A. Conley; L. Conversi; A. Cooray; C. D. Dowell; D. Farrah; A. Franceschini; É. Giovannoli; J. Glenn; Matthew Griffin; E. Hatziminaoglou; Ho Seong Hwang; E. Ibar; O. Ilbert; R. J. Ivison; E. Le Floc'h; S. J. Lilly; Jeyhan S. Kartaltepe; B. Magnelli; G. Magdis; L. Marchetti; H. T. Nguyen; R. Nordon; B. O’Halloran; S. Oliver; A. Omont; A. Papageorgiou; Himani Patel; C. P. Pearson; I. Pérez-Fournon; M. Pohlen; P. Popesso; F. Pozzi; D. Rigopoulou; L. Riguccini; D. J. Rosario; I. G. Roseboom; M. Rowan-Robinson; M. Salvato; B. Schulz; D. Scott; N. Seymour; D. L. Shupe; A. J. Smith; I. Valtchanov; L. Wang; C. K. Xu; M. Zemcov; S. Wuyts","2013.0","","","herschel; census; seds; time"
"Seabird species vary in behavioural response to drone census","Unmanned aerial vehicles (UAVs) provide an opportunity to rapidly census wildlife in remote areas while removing some of the hazards. However, wildlife may respond negatively to the UAVs, thereby skewing counts. We surveyed four species of Arctic cliff-nesting seabirds (glaucous gull Larus hyperboreus, Iceland gull Larus glaucoides, common murre Uria aalge and thick-billed murre Uria lomvia) using a UAV and compared censusing techniques to ground photography. An average of 8.5% of murres flew off in response to the UAV, but >99% of those birds were non-breeders. We were unable to detect any impact of the UAV on breeding success of murres, except at a site where aerial predators were abundant and several birds lost their eggs to predators following UAV flights. Furthermore, we found little evidence for habituation by murres to the UAV. Most gulls flew off in response to the UAV, but returned to the nest within five minutes. Counts of gull nests and adults were similar between UAV and ground photography, however the UAV detected up to 52.4% more chicks because chicks were camouflaged and invisible to ground observers. UAVs provide a less hazardous and potentially more accurate method for surveying wildlife. We provide some simple recommendations for their use.","10.1038/s41598-017-18202-3","7.0","Émile Brisson‐Curadeau; David M. Bird; Chantelle Burke; David A. Fifield; Paul Pace; Richard B. Sherley; Kyle H. Elliott","2017.0","","","seabird; species; response; census"
"Census Bureau Releases First Look at African-American Population Since Census 2000: Report Released by Census Director at Black Mayors Annual Conference in Houston","","10.1037/e668942007-001","0.0","","2003.0","","","census; bureau; releases; first; look; population; report; director; black; mayors; annual; conference; houston"
"The synthesis of a hierarchically porous BEA zeolite via pseudomorphic crystallization","A synthesis route to a hierarchically meso-/microporous BEA zeolite has been developed with a cyclic diammonium as a structure-directing agent (SDA), which leads to pseudomorphic crystallization of the zeolite by suppressing the mobility of silicates during crystallization.","10.1039/b905087f","3.0","Minkee Choi; Kyungsu Na; Ryong Ryoo","2009.0","","","synthesis; bea; zeolite; crystallization"
"Estimating census district populations from satellite imagery: Some approaches and limitations","Small-area population densities and counts were estimated for Australian census collection districts (CDs), using Landsat TM imagery. A number of mathematical and statistical refinements to previously reported methods were explored. The robustness of these techniques as a practical methodology for population estimation was investigated and evaluated using a primary image for model development and training, and a second image for validation. Correlations of up to 0.92 in the training set and up to 0.86 in the validation set were obtained between census and remote sensing estimates of CD population density, with median proportional errors of 17.4% and 18.4%, respectively. Total urban populations were estimated with errors of +1% and-3%, respectively. These results indicate a moderate level of accuracy and a substantial degree of robustness. Accuracy was greatest in suburban areas of intermediate population density. There was a general tendency towards attenuation in all models tested, with high densities being under-estimated and low densities being over-estimated. It is concluded that the level of accuracy obtainable with this methodology is limited by heterogeneity within the individual CDs, particularly large rural CDs, and that further improvements are in principle unlikely using the aggregated approach. An alternative statistical approach is foreshadowed.","10.1080/01431160110075901","1.0","Jack Harvey","2002.0","","","census; district; populations; imagery; approaches; limitations"
"A Re-examination of the Census Bureau Reconstruction and Reidentification Attack","","10.1007/978-3-031-13945-1_22","1.0","Krishnamurty Muralidhar","2022.0","","","re; examination; census; bureau; reconstruction; reidentification; attack"
"Type I IL-4Rs Selectively Activate IRS-2 to Induce Target Gene Expression in Macrophages","The ability of IL-4, but not IL-13, to efficiently activate IRS-2 leads to the expression of a subset of genes in alternatively activated macrophages.","10.1126/scisignal.1164795","7.0","Nicola Heller; Xiulan Qi; Ilkka Junttila; Kari Ann Shirey; Stefanie N. Vogel; William E. Paul; Achsah Keegan","2008.0","","","type; il; rs; selectively; activate; irs; target; gene; expression; macrophages"
"What Happens When Firms Patent? New Evidence from U.S. Economic Census Data","We build a new concordance between the NBER Patent Data and U.S. Census microdata and use it to examine what happens when firms patent. We find strong evidence that increases in patent stock are associated with increases in firm size, scope, and skill and capital intensity. We find somewhat weaker evidence that changes in patenting are positively correlated with changes in total factor productivity. We also analyze first-time patentees and find similar effects following initial patent application. Together, these results suggest that patenting is indeed associated with real changes within firms, in particular with growth through increases in scope.","10.1162/rest_a_00058","2.0","Natarajan Balasubramanian; Jagadeesh Sivadasan","2010.0","","","firms; patent; new; evidence; u; s; census"
"Max-Min Fairness in IRS-Aided Multi-Cell MISO Systems With Joint Transmit and Reflective Beamforming","This paper investigates an intelligent reflecting surface (IRS)-aided multi-cell multiple-input single-output (MISO) network with a set of multi-antenna base stations (BSs) each communicating with multiple single-antenna users, in which an IRS is dedicatedly deployed for assisting the wireless transmission and suppressing the inter-cell interference. Under this setup, we jointly optimize the coordinated transmit beamforming vectors at the BSs and the reflective beamforming vector (with both reflecting phases and amplitudes) at the IRS, for the purpose of maximizing the minimum weighted signal-to-interference-plus-noise ratio (SINR) at the users, subject to the individual maximum transmit power constraints at the BSs and the reflection constraints at the IRS. To solve the non-convex min-weighted-SINR maximization problem, we first present an exact-alternating-optimization approach to optimize the transmit and reflective beamforming vectors in an alternating manner, in which the transmit and reflective beamforming optimization subproblems are solved exactly in each iteration by using the techniques of second-order-cone program (SOCP) and semi-definite relaxation (SDR), respectively. However, the exact-alternating-optimization approach has high computational complexity, and may lead to compromised performance due to the uncertainty of randomization in SDR. To avoid these drawbacks, we further propose an inexact-alternating-optimization approach, in which the transmit and reflective beamforming optimization subproblems are solved inexactly in each iteration based on the principle of successive convex approximation (SCA). In addition, to further reduce the computational complexity, we propose a low-complexity inexact-alternating-optimization design, in which the reflective beamforming optimization subproblem is solved more inexactly. Via numerical results, it is shown that the proposed three designs achieve significantly increased min-weighted-SINR values, as compared with benchmark schemes without the IRS or with random reflective beamforming. It is also shown that the inexact-alternating-optimization design outperforms the exact-alternating-optimization one in terms of both the achieved min-weighted-SINR value and the computational complexity, while the low-complexity inexact-alternating-optimization design has much lower computational complexity with slightly compromised performance. Furthermore, we show that our proposed design can be applied to the scenario with unit-amplitude reflection constraints, with a negligible performance loss.","10.1109/twc.2020.3033332","3.0","Hailiang Xie; Jie Xu; Ya‐Feng Liu","2020.0","","","max; min; fairness; irs; aided; multi; cell; miso; systems; joint; transmit; reflective; beamforming"
"Aqueous Phase Hydroalkylation and Hydrodeoxygenation of Phenol by Dual Functional Catalysts Comprised of Pd/C and H/La-BEA","Aqueous phase catalytic phenol hydroalkylation and hydrodeoxygenation have been explored using Pd/C combined with zeolite H-BEA and La-BEA catalysts in the presence of H2. The individual steps of phenol hydrogenation, cyclohexanol dehydration, or alkylation with phenol were individually investigated to gain insight into the relative rates in the cascade reactions of phenol hydroalkylation. The hydroalkylation rate, determined by the concentrations of phenol and cyclohexanol in phenol hydroalkylation, required the hydrogenation rate to be relatively slow. The optimized H+/Pd ratio was 21, which allowed achieving comparable cyclohexanol formation rates via phenol hydrogenation and consumption rates from alkylation with phenol in phenol hydroalkylation. La-BEA was shown to be more selective for hydroalkylation than H-BEA in combination with Pd/C, because cyclohexanol dehydration was retarded selectively compared to alkylation of phenol. This indicates that dehydration is solely catalyzed by Brønsted acid sites, while alkylation can be achieved in the presence of La3+ cations.","10.1021/cs300418a","3.0","Chen Zhao; Wenji Song; Johannes A. Lercher","2012.0","","","phase; hydroalkylation; hydrodeoxygenation; phenol; dual; functional; catalysts; pd; c; h; la; bea"
"On the accuracy of TIGER-type geocoded address data in relation to cadastral and census areal units","Abstract In many applications of Geographical Information Systems (GIS) a common task is the conversion of addresses into grid coordinates. In many countries this is usually accomplished using address range TIGER-type files in conjunction with geocoding packages within a GIS. Improvements in GIS functionality and the storage capacity of large databases mean that the spatial investigation of data at the individual address level is now commonly performed. This process relies on the accuracy of the geocoding mechanism and this paper examines this accuracy in relation to cadastral records and census tracts. Results from a study of over 20 000 addresses in Sydney, Australia, using a TIGER-type geocoding process suggest that 5-7.5% (depending on geocoding method) of addresses may be misallocated to census tracts, and more than 50% may be given coordinates within the land parcel of a different property.","10.1080/13658810110047221","1.0","Jerry H. Ratcliffe","2001.0","","","accuracy; tiger; type; address; relation; areal; units"
"Regular exercise enhances insulin activation of IRS-1-associated PI3-kinase in human skeletal muscle","Insulin action in skeletal muscle is enhanced by regular exercise. Whether insulin signaling in human skeletal muscle is affected by habitual exercise is not well understood. Phosphatidylinositol 3-kinase (PI3-kinase) activation is an important step in the insulin-signaling pathway and appears to regulate glucose metabolism via GLUT-4 translocation in skeletal muscle. To examine the effects of regular exercise on PI3-kinase activation, 2-h hyperinsulinemic (40 mU ⋅ m − 2 ⋅ min − 1 )-euglycemic (5.0 mM) clamps were performed on eight healthy exercise-trained [24 ± 1 yr, 71.8 ± 2.0 kg, maximal O 2 uptake (V˙o 2 max ) of 56.1 ± 2.5 ml ⋅ kg − 1 ⋅ min − 1 ] and eight healthy sedentary men and women (24 ± 1 yr, 64.7 ± 4.4 kg,V˙o 2 max of 44.4 ± 2.7 ml ⋅ kg − 1 ⋅ min − 1 ). A [6,6- 2 H]glucose tracer was used to measure hepatic glucose output. A muscle biopsy was obtained from the vastus lateralis muscle at basal and at 2 h of hyperinsulinemia to measure insulin receptor substrate-1(IRS-1)-associated PI3-kinase activation. Insulin concentrations during hyperinsulinemia were similar for both groups (293 ± 22 and 311 ± 22 pM for trained and sedentary, respectively). Insulin-mediated glucose disposal rates (GDR) were greater ( P &lt; 0.05) in the exercise-trained compared with the sedentary control group (9.22 ± 0.95 vs. 6.36 ± 0.57 mg ⋅ kg fat-free mass − 1 ⋅ min − 1 ). Insulin-stimulated PI3-kinase activation was also greater ( P&lt; 0.004) in the trained compared with the sedentary group (3.8 ± 0.5- vs. 1.8 ± 0.2-fold increase from basal). Endurance capacity (V˙o 2 max ) was positively correlated with PI3-kinase activation ( r = 0.53, P &lt; 0.04). There was no correlation between PI3-kinase and muscle morphology. However, increases in GDR were positively related to PI3-kinase activation ( r = 0.60, P &lt; 0.02). We conclude that regular exercise leads to greater insulin-stimulated IRS-1-associated PI3-kinase activation in human skeletal muscle, thus facilitating enhanced insulin-mediated glucose uptake.","10.1152/jappl.2000.88.2.797","7.0","John P. Kirwan; Luis F. Del Aguila; Jazmir M. Hernandez; David L. Williamson; Donal J. O’Gorman; Rebecca Lewis; Raj K. Krishnan","2000.0","USC","","exercise; enhances; activation; irs; pi; kinase; muscle"
"Cobalt-containing BEA zeolite for catalytic combustion of toluene","","10.1016/j.apcatb.2017.04.067","8.0","Anna Rokicińska; Marek Drozdek; Barbara Dudek; Barbara Gil; Piotr Michorczyk; Dalil Brouri; Stanisław Dźwigaj; Piotr Kuśtrowski","2017.0","","","cobalt; bea; zeolite; combustion; toluene"
"Latinos, Race, and the U.S. Census","We identify two dimensions of race for the Latino/Hispanic population in the United States—Latinos as one category among the various categories of the U.S. “ethno-racial pentagon” and racial or color differences among Latinos. In a major change from the previous (two-question) format, the Census Bureau recommends a one-question format for capturing ethno-racial distinctions in the 2020 census, which efficiently captures the Latino population on the first dimension and is consistent with racial classification and identification in the real world. At the same time, it nearly eliminates the problem that the two-question format fostered of classifying many Hispanics as “some other race” while maintaining a similar number of Americans classified as Hispanic or Latino. Whether the Census Bureau adopts the one- or two-question format is yet to be decided as of this writing. However, neither format is sufficient for capturing racial distinctions among the fast-growing Latino population, thus precluding effective monitoring of racial disparities in the United States.","10.1177/0002716218766463","1.0","Edward Telles","2018.0","","","latinos; race; u; s; census"
"A STELLAR CENSUS OF THE TUCANA-HOROLOGIUM MOVING GROUP","We report the selection and spectroscopic confirmation of 129 new late-type (SpT = K3–M6) members of the Tucana–Horologium moving group, a nearby (d ∼ 40 pc), young (τ ∼ 40 Myr) population of comoving stars. We also report observations for 13 of the 17 known Tuc–Hor members in this spectral type range, and that 62 additional candidates are likely to be unassociated field stars; the confirmation frequency for new candidates is therefore 129/191 = 67%. We have used radial velocities, Hα emission, and Li6708 absorption to distinguish between contaminants and bona fide members. Our expanded census of Tuc–Hor increases the known population by a factor of ∼3 in total and by a factor of ∼8 for members with SpT ⩾ K3, but even so, the K–M dwarf population of Tuc–Hor is still markedly incomplete. Our expanded census allows for a much more detailed study of Tuc–Hor than was previously feasible. The spatial distribution of members appears to trace a two-dimensional sheet, with a broad distribution in X and Y, but a very narrow distribution (±5 pc) in Z. The corresponding velocity distribution is very small, with a scatter of ±1.1 km s−1 about the mean UVW velocity for stars spanning the entire 50 pc extent of Tuc–Hor. We also show that the isochronal age (τ ∼ 20–30 Myr) and the lithium depletion boundary age (τ ∼ 40 Myr) disagree, following the trend in other pre-main-sequence populations for isochrones to yield systematically younger ages. The Hα emission line strength follows a trend of increasing equivalent width with later spectral type, as is seen for young clusters. We find that moving group members have been depleted of measurable lithium for spectral types of K7.0–M4.5. None of our targets have significant infrared excesses in the WISE W3 band, yielding an upper limit on warm debris disks of F < 0.7%. Finally, our purely kinematic and color–magnitude selection procedure allows us to test the efficiency and completeness for activity-based selection of young stars. We find that 60% of K–M dwarfs in Tuc–Hor do not have ROSAT counterparts and would have been omitted in X-ray-selected samples. In contrast, GALEX UV-selected samples using a previously suggested criterion for youth achieve completeness of 77% and purity of 78%, and we suggest new SpT-dependent selection criteria that will yield >95% completeness for τ ∼ 40 Myr populations with GALEX data available.","10.1088/0004-6256/147/6/146","4.0","Adam L. Kraus; Evgenya L. Shkolnik; Katelyn Allers; Michael C. Liu","2014.0","","","stellar; census; the; tucana; horologium; moving; group"
"Latinos, Race, and the U.S. Census","We identify two dimensions of race for the Latino/Hispanic population in the United States—Latinos as one category among the various categories of the U.S. “ethno-racial pentagon” and racial or color differences among Latinos. In a major change from the previous (two-question) format, the Census Bureau recommends a one-question format for capturing ethno-racial distinctions in the 2020 census, which efficiently captures the Latino population on the first dimension and is consistent with racial classification and identification in the real world. At the same time, it nearly eliminates the problem that the two-question format fostered of classifying many Hispanics as “some other race” while maintaining a similar number of Americans classified as Hispanic or Latino. Whether the Census Bureau adopts the one- or two-question format is yet to be decided as of this writing. However, neither format is sufficient for capturing racial distinctions among the fast-growing Latino population, thus precluding effective monitoring of racial disparities in the United States.","10.1177/0002716218766463","1.0","Edward Telles","2018.0","","","latinos; race; u; s; census"
"Trends in Deaths Involving Heroin and Synthetic Opioids Excluding Methadone, and Law Enforcement Drug Product Reports, by Census Region — United States, 2006–2015","Opioid overdose deaths quadrupled from 8,050 in 1999 to 33,091 in 2015 and accounted for 63% of drug overdose deaths in the United States in 2015. During 2010-2015, heroin overdose deaths quadrupled from 3,036 to 12,989 (1). Sharp increases in the supply of heroin and illicitly manufactured fentanyl (IMF) are likely contributing to increased deaths (2-6). CDC examined trends in unintentional and undetermined deaths involving heroin or synthetic opioids excluding methadone (i.e., synthetic opioids)* by the four U.S. Census regions during 2006-2015. Drug exhibits (i.e., drug products) obtained by law enforcement and reported to the Drug Enforcement Administration's (DEA's) National Forensic Laboratory Information System (NFLIS) that tested positive for heroin or fentanyl (i.e., drug reports) also were examined. All U.S. Census regions experienced substantial increases in deaths involving heroin from 2006 to 2015. Since 2010, the South and West experienced increases in heroin drug reports, whereas the Northeast and Midwest experienced steady increases during 2006-2015.† In the Northeast, Midwest, and South, deaths involving synthetic opioids and fentanyl drug reports increased considerably after 2013. These broad changes in the U.S. illicit drug market highlight the urgent need to track illicit drugs and enhance public health interventions targeting persons using or at high risk for using heroin or IMF.","10.15585/mmwr.mm6634a2","3.0","Julie O’Donnell; R. Matthew Gladden; Puja Seth","2017.0","","","trends; deaths; involving; heroin; synthetic; opioids; excluding; methadone; law; enforcement; drug; product; reports; census; region; united; states"
"The New race question: how the census counts multiracial individuals","","10.5860/choice.40-6735","0.0","","2003.0","","","new; race; question; census; individuals"
"Kinetic modeling of H-BEA and Fe-BEA as NH3-SCR catalysts—Effect of hydrothermal treatment","","10.1016/j.cattod.2012.06.014","5.0","Soran Shwan; Jonas Jansson; John Korsgren; Louise Olsson; Magnus Skoglundh","2012.0","","","kinetic; modeling; h; bea; fe; nh; scr; treatment"
"Efficient Computation of Optical Flow Using the Census Transform","","10.1007/978-3-540-28649-3_10","1.0","Fridtjof Stein","2004.0","","","computation; optical; flow; census; transform"
"Defining neighborhood boundaries: Are census tracts obsolete?","","10.1016/j.jue.2005.10.003","2.0","John M. Clapp; Yazhen Wang","2006.0","","","neighborhood; boundaries; tracts"
"Expanding the role of synthetic data at the U.S. Census Bureau","National Statistical offices (NSOs) create official statistics from data collected from survey respondents, government administrative records and other sources. The raw source data is usually considered to be confidential. In the case of the U.S. Census Bureau, confidentiality of survey and administrative records microdata is mandated by statute, and this mandate to protect confidentiality is often at odds with the needs of users to extract as much information from the data as possible. Traditional disclosure protection techniques result in official data products that do not fully utilize the information content of the underlying microdata. Typically, these products take the form of simple aggregate tabulations. In a few cases anonymized public-use micro samples are made available, but these face a growing risk of re-identification by the increasing amounts of information about individuals and firms available in the public domain. One approach for overcoming these risks is to release products based on synthetic data where values are simulated from statistical models designed to mimic the (joint) distributions of the underlying microdata. We discuss recent Census Bureau work to develop and deploy such products. We discuss the benefits and challenges involved with extending the scope of synthetic data products in official statistics.","10.3233/sji-140813","3.0","Ron S. Jarmin; Thomas A. Louis; Javier Miranda","2014.0","","","u; s; census; bureau"
